,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,1.1855596755682034,1.1853905826343316,1.1851977982141662,1.1852452493679557,1.1892946552091652,1.190698548314936,1.1949030575323176
max_depth = 2,1.1734517596531624,1.1723189152218494,1.1716938529481218,1.1715589220211577,1.1774493976823601,1.180019590140376,1.1865473059578784
max_depth = 3,1.162814548817481,1.1613309875830957,1.1608711368654814,1.159846631416323,1.166939246261618,1.1699831525053486,1.1793849586198297
max_depth = 4,1.1518094938603067,1.1511175636473723,1.1506816724368425,1.1498379250374045,1.1585864861902124,1.1614132572548292,1.1724115654975256
max_depth = 5,1.1413600541833244,1.1413887992637832,1.141746741240125,1.1399491380284998,1.149670952214117,1.1541196728062224,1.1660608594876636
max_depth = 6,1.1324621544426925,1.1337638359190765,1.1332474053982937,1.1330998696316787,1.1435590285017578,1.1474171993353999,1.1598951524352532
max_depth = 7,1.125630694383668,1.1251520622663602,1.1258895321205264,1.1256579225986947,1.1358171498116654,1.1402972618242437,1.1534517820738648
max_depth = 8,1.118144289314841,1.1218123449370379,1.12093322796828,1.1204211583551713,1.1321634377420553,1.1366543704249112,1.1497616202412242
max_depth = 9,1.1147238739878995,1.1150175693975544,1.115432894829849,1.1160123413229586,1.1255981090559743,1.1294070175728324,1.1463644214368816
max_depth = 10,1.1112151682016798,1.1121364865224808,1.113653186583258,1.1134960678872805,1.12382311927066,1.1250542243450514,1.141521219064994
max_depth = 11,1.1077648720754396,1.1080259222401836,1.108623814752447,1.1105448714029826,1.122952572782109,1.125519279870594,1.1383127179016528
max_depth = 12,1.1045091652598258,1.1056475492750044,1.1059480774929225,1.1082991275796343,1.1176772589329507,1.121969224904592,1.1340402450378941
max_depth = 13,1.1060719781393853,1.1016967253307022,1.1005961278881469,1.1054116098028552,1.1168287931903291,1.1222333693280129,1.1328123553992113
max_depth = 14,1.1005251405106573,1.1004655103637537,1.1042486364393334,1.1048612851654402,1.1162070500973504,1.1203185465305299,1.1316067592660661
max_depth = 15,1.1016972224821675,1.10177030946209,1.1013034458969115,1.1022507537148967,1.1144431557103232,1.1184693499396294,1.1276493320906744
