,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,1.0971748315793497,1.0984797591438669,1.0995442816832128,1.101173886047183,1.1063367022417145,1.1076442371676667,1.1118796005910958
max_depth = 2,1.0855914640051887,1.0861295616770148,1.0866048985531733,1.0882180075767272,1.0950437952292025,1.0972023250987164,1.1042190223955834
max_depth = 3,1.0748092710390265,1.0757700866994349,1.0770247337536039,1.0782847997571834,1.0851741706900457,1.0882777431288404,1.0966355439626476
max_depth = 4,1.0670189088186421,1.067951624336652,1.0682316704217192,1.0704110975674388,1.0775739607314945,1.0803189643537758,1.0899719532066725
max_depth = 5,1.060269379853833,1.0625524482782807,1.0624045155560207,1.0630462538274668,1.0705161543664163,1.073514546921972,1.0842104190176927
max_depth = 6,1.0559239601150754,1.0560227276728542,1.057499964845725,1.0586162755639348,1.0642063334761396,1.068680207141222,1.0786433555279031
max_depth = 7,1.0506392857450235,1.0528375627920041,1.0519470328025462,1.0547009830491736,1.060641675380821,1.0649218476031677,1.0752394964955205
max_depth = 8,1.0483392963269333,1.049086394717564,1.0502380366254302,1.0498335850396316,1.0576519472696755,1.0603380811964271,1.0703818332392516
max_depth = 9,1.0455517164845662,1.0449533457202014,1.0474617720916928,1.0460348074168346,1.0532260162542268,1.0569643143131353,1.066103694389818
max_depth = 10,1.041654849675022,1.0419968130393262,1.044433693060296,1.0453513884346957,1.0505850727139292,1.0529791388060477,1.0637963496582212
max_depth = 11,1.039781332399562,1.041870970739402,1.042459586927247,1.0449415859811655,1.0468557777939993,1.0503193885937836,1.061228698479303
max_depth = 12,1.0393984058152026,1.0421586298555072,1.042520741714811,1.0460085083443151,1.0491867890772615,1.0467725776758823,1.0612574250350548
max_depth = 13,1.041898196916593,1.0412604153449248,1.040606945809587,1.041510057599322,1.0464676217697362,1.0493446064486776,1.0585289580010895
max_depth = 14,1.0390706836584287,1.040848436925615,1.039773332071472,1.042187695670535,1.0469901180762353,1.0492673607127672,1.0578341587358908
max_depth = 15,1.0374378204759265,1.0399864066010778,1.0418416150340648,1.0416261233191557,1.046409059191099,1.0488913453126774,1.054263720695856
