,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,1.2864623321504314,1.2864790384187155,1.2863116727552923,1.2867577533401044,1.2908176006925653,1.2924703644500395,1.2965861070195361
max_depth = 2,1.2728767881364573,1.2723980674415283,1.27190303453027,1.271886046961225,1.2772509955213136,1.2798164446005265,1.2871044851837574
max_depth = 3,1.2591337999456464,1.2595325390321002,1.2588828436959933,1.2595194024411975,1.2663889022397516,1.2686082782231345,1.2781026628984034
max_depth = 4,1.2479640325535473,1.2480843668056123,1.2471610475762631,1.2484240135508622,1.256076229930136,1.2589196954928725,1.2703225846371455
max_depth = 5,1.2372699220867989,1.2376445139303696,1.2379375031164161,1.2385159813084938,1.2472339515609692,1.2506574032860147,1.262474722805696
max_depth = 6,1.2295428047369046,1.22987282254675,1.2282117526503218,1.2300835287407348,1.2399860078717555,1.243551098816647,1.2563004158907998
max_depth = 7,1.2200533908026672,1.222107119043419,1.2228325200920442,1.2234070186051575,1.2331001443752032,1.2374680203525557,1.2519815336993612
max_depth = 8,1.2131833178155007,1.2154410402729503,1.2158849485855538,1.2169547531274678,1.227990409105214,1.2297403858599436,1.245792593631471
max_depth = 9,1.2079981630989223,1.2098845971473138,1.2111894615191392,1.211417226826474,1.2208247228392795,1.226282759064918,1.240390625703358
max_depth = 10,1.2050869098644894,1.2065882320759704,1.2067474464956953,1.2089236928003206,1.2174676630436867,1.2214793523961072,1.236682438739692
max_depth = 11,1.200530024789993,1.2042176036002885,1.2007265838757584,1.2039657488544864,1.212632998674995,1.2162689233535224,1.2318276615289703
max_depth = 12,1.1990883417261835,1.1995124585135153,1.2003600385413942,1.2046881224043842,1.2116776159005713,1.2162730727803797,1.2297798525055452
max_depth = 13,1.1993125099154704,1.1981371547281643,1.197346216702355,1.2004319836672166,1.2097671850577634,1.2146012911079596,1.2290285894581303
max_depth = 14,1.1980799676166112,1.1991623772417728,1.1977692683541998,1.202198496580443,1.2086792091380338,1.213666549183222,1.2247638651137072
max_depth = 15,1.19190128337247,1.1968851877643591,1.1977741622661364,1.2019886524344792,1.2085778170662789,1.208133390105928,1.2259536976338128
