,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,2.8382398658013708,2.839605390999697,2.840919681998839,2.8449304599762417,2.855995019578334,2.8591532566984803,2.866551079994382
max_depth = 2,2.805756478661789,2.8079224044969084,2.8089814400336617,2.815366800040314,2.831270898307796,2.8369025481978567,2.849874672361213
max_depth = 3,2.7820597820138473,2.783660948760813,2.7856848594229113,2.791959083887632,2.810269445957571,2.818043651480142,2.8341746574887976
max_depth = 4,2.763534834275472,2.7635286889551742,2.768987204186713,2.7740355401403844,2.792749323016218,2.8014500661265265,2.819727648116621
max_depth = 5,2.745653048061794,2.747900163409606,2.749929452786727,2.7576491821794287,2.780080610333759,2.7869386378580394,2.8072193652161976
max_depth = 6,2.7348366650435847,2.737543278033343,2.7377276090468756,2.7447845604192107,2.767383147393295,2.772286173408396,2.7955949920738323
max_depth = 7,2.71919536773834,2.7208247252088436,2.726334628515074,2.733870904555969,2.7538131691571532,2.7631503565234934,2.7888548708832523
max_depth = 8,2.7098364000305333,2.717140479998499,2.717527438989429,2.71983646387494,2.745765468165773,2.757369902031223,2.778506234410393
max_depth = 9,2.7044599666301483,2.703813173481103,2.7067431999154827,2.7153486307857446,2.741127039142066,2.7469112586472413,2.767168219675646
max_depth = 10,2.6970916297419305,2.704192952882871,2.704579722680338,2.7068175348302246,2.7323206059149903,2.74263913233959,2.763452356134945
max_depth = 11,2.696297658112907,2.696228319951836,2.699277823036311,2.7037278178707576,2.727682069687741,2.741819017711148,2.7569334053218437
max_depth = 12,2.6937301145742496,2.6948073298276958,2.695042024666418,2.703174235042747,2.7258119600904194,2.7363508753103214,2.753393635798222
max_depth = 13,2.6962408340451294,2.6955067323961073,2.698686257361905,2.703412937510904,2.7217732255937603,2.7296004402055005,2.747313628613084
max_depth = 14,2.696118562689282,2.691188796250611,2.6989004875093583,2.7046380405019264,2.7206771185204444,2.728593197594305,2.750421298474858
max_depth = 15,2.689532677558589,2.691256285959627,2.693488326215794,2.7041631830628723,2.721453362979981,2.731278517174036,2.745566594055236
