,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,1.4276045469814316,1.4278349041836602,1.428124291789407,1.4293065175359636,1.4350240434244212,1.4368590252335538,1.441713406011705
max_depth = 2,1.409928344576305,1.4096397568689407,1.4099942010338455,1.4114270194367413,1.4207251062145556,1.4234337268277326,1.4313953057280664
max_depth = 3,1.3954539379578663,1.395771994430947,1.395783584406792,1.396946455631441,1.4084675330360867,1.4116997845629835,1.422727971124953
max_depth = 4,1.3830395776750952,1.3837073212662832,1.383734627430072,1.3863994228680492,1.397853029177933,1.4028370625869433,1.4140754488862621
max_depth = 5,1.3725479036795691,1.3730491747787525,1.3737596548115534,1.3742867880323415,1.3874685011701597,1.392359949285751,1.4062594181162291
max_depth = 6,1.362251018138201,1.363375017832964,1.362701313156293,1.3657094034246366,1.3793612473767312,1.3848485728990394,1.3982774696233327
max_depth = 7,1.3544380830226548,1.3533714017764495,1.3534854580447122,1.3593446235634237,1.3710430925188084,1.3769963436029093,1.394066440924129
max_depth = 8,1.3446748624412195,1.3486497411563831,1.3473744646028427,1.3485343604511428,1.3648931354044627,1.3703231743026665,1.3881645136373717
max_depth = 9,1.33826711206357,1.3408930587706571,1.341005773879872,1.3468702068888232,1.3573773460793814,1.3655624002860338,1.3808291102575854
max_depth = 10,1.3332097221282224,1.3371699349707613,1.337466190812697,1.340025996057485,1.3546205932905204,1.3611305778055416,1.3770978898578974
max_depth = 11,1.331445547199669,1.333830253931842,1.3317524747202518,1.3333820528800475,1.351367768814847,1.3566119132845316,1.3741237878999384
max_depth = 12,1.3296600644444296,1.3305581662805153,1.3337510423021386,1.333483991758921,1.3499305334890037,1.3540306082860643,1.37175897091719
max_depth = 13,1.3293328397668056,1.3289485936761913,1.3299159977738197,1.3363609810234671,1.3510457509668026,1.3528541877692275,1.3694645122418452
max_depth = 14,1.3293598945627167,1.3288265776792232,1.3268755299364643,1.3302364569980536,1.3473632526209713,1.3511825632487957,1.3700213916467567
max_depth = 15,1.3268791269192997,1.3281850533217157,1.3292376836666735,1.328250943254083,1.3447222897372981,1.351159270682291,1.36753046537101
