,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,6.046489900774049,6.047576697068859,6.048950858055905,6.050846120326821,6.057362049977594,6.059085227761416,6.067630596059453
max_depth = 2,6.011985804397099,6.012540483094631,6.016317209359841,6.020473299603087,6.031260884431009,6.035245510134593,6.050096941931122
max_depth = 3,5.980207067663054,5.981349219620103,5.984961940402485,5.989700104863453,6.007700497635013,6.013578794125033,6.0319592933411155
max_depth = 4,5.953447642386773,5.956666443887921,5.959150336921304,5.964248649583278,5.983875508726411,5.995273158028859,6.017177461880413
max_depth = 5,5.928351827335862,5.932265385648019,5.933475128742248,5.944014602751447,5.966502737543445,5.9802480772443065,6.005914910410975
max_depth = 6,5.907248779820704,5.914704350006839,5.911104449722107,5.921176667586166,5.947475807443285,5.964940209622497,5.989886778191697
max_depth = 7,5.89613490362348,5.895139865340237,5.899247568506372,5.913391012290078,5.934362834570451,5.950639795775111,5.978350955594945
max_depth = 8,5.871704225881026,5.8802141342351515,5.880485444002267,5.899445496657573,5.918688280957809,5.93533503768136,5.967812501447591
max_depth = 9,5.866480584102309,5.862160569490151,5.870376900404519,5.885049443253683,5.9181167694790755,5.922120040718544,5.955717993070681
max_depth = 10,5.858578499634296,5.862686711047088,5.86217921601283,5.882366975523071,5.90271677436266,5.908663690198287,5.9436307878000365
max_depth = 11,5.850142442871414,5.841748266957291,5.86409096425421,5.858729480275598,5.8946935665008695,5.912181858534981,5.940357059653538
max_depth = 12,5.846004015593053,5.855405172064765,5.852952260951824,5.856440484564975,5.879663510652814,5.903057415281762,5.9304974258199525
max_depth = 13,5.837016361600848,5.842930819129061,5.838412445090197,5.861250489784967,5.884247107503148,5.883505986724565,5.929381293162106
max_depth = 14,5.836685709190058,5.837007378663998,5.854844808501979,5.851918614124694,5.870371093374317,5.889343441415978,5.93322872197535
max_depth = 15,5.8408775430067825,5.836348634190754,5.8484177535648305,5.843465142766447,5.87834721678936,5.887646002561309,5.924827495671771
