,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.2591176471896921,0.27315939828679203,0.28417964455888056,0.31853012421644267,0.367381411233083,0.3826596462652568,0.3846517585713401
max_depth = 2,0.28374455182676084,0.3005694381981337,0.30855812008484546,0.3429674626971718,0.37748006105939497,0.38623445826705105,0.3916176266272123
max_depth = 3,0.30761671119694095,0.32373997336221466,0.33062990527895036,0.3566784646906975,0.3868294207832072,0.3955373070858985,0.3922163058543952
max_depth = 4,0.3316940598182948,0.34294806083844614,0.34938490771799335,0.37015331321534234,0.39038135286312337,0.4004520575331396,0.3939246769740071
max_depth = 5,0.3514155394625292,0.35908011295870446,0.3643625117288211,0.3863455876167508,0.3980286072906992,0.4012904189106674,0.3974827533339083
max_depth = 6,0.369543200253495,0.3698206811096437,0.3813919854210578,0.391428391893275,0.4002187407497114,0.40171904333649583,0.40082988764640676
max_depth = 7,0.3818520804925935,0.38863031606255133,0.3890783995041095,0.4062301766108975,0.4041183127040404,0.4106676263413482,0.4024439434739533
max_depth = 8,0.39552856462839403,0.39014629120642164,0.39933714967261175,0.41222879962000675,0.4087949095048865,0.4060869614567575,0.4011218976710672
max_depth = 9,0.39888370530560885,0.4035989250132168,0.40774254415938094,0.41332877914616917,0.4155137277834268,0.41474855501562097,0.4050164699838358
max_depth = 10,0.4060080234400037,0.4080943941384409,0.4055559560221992,0.41853053000541446,0.41206557057717286,0.42023726593335475,0.4085528212433989
max_depth = 11,0.40837798030178624,0.4131082815559821,0.41472800127070264,0.4203432866837856,0.4119163828968196,0.4106711567978457,0.41057021362107815
max_depth = 12,0.41532442128328023,0.41666295260060787,0.420967641932725,0.421943080825418,0.42084917544259054,0.41505724173447206,0.4174465144156028
max_depth = 13,0.41184609004532974,0.4209632257142659,0.42494018796231237,0.42821730400445773,0.41967043315106767,0.4154624361774076,0.41097291274432546
max_depth = 14,0.4195994319385194,0.4260436396831149,0.42362785891813554,0.4267022865167989,0.419380177207921,0.4151939858788489,0.40914174639647727
max_depth = 15,0.4173376648105826,0.42016411405316667,0.4250219239881859,0.43194163938792945,0.41711289138035335,0.42005257967900533,0.4190143487852665
