,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.21343309480573,0.23417846290356964,0.24661811072742504,0.2881909678416244,0.34320185695345196,0.3535808141186136,0.3471896960136979
max_depth = 2,0.24459992069092795,0.26189778603906066,0.27581485129616773,0.30574741863035476,0.35093389254097285,0.3562764316906871,0.34753638716425816
max_depth = 3,0.27372249548830657,0.2894907757816407,0.2967894714410142,0.32267373864833077,0.3539114727048155,0.3545880952158928,0.3528853361275029
max_depth = 4,0.2950689429490892,0.3066227613700466,0.3139297971378286,0.3337868684969075,0.3560338476358888,0.35804328776100297,0.3570347007629706
max_depth = 5,0.31318162607320627,0.317492527127247,0.32404094486847923,0.34591105454187704,0.36105817346279334,0.3582922981351429,0.35227483310396446
max_depth = 6,0.3239662779850722,0.33219094872063454,0.33187349126237814,0.349209007371344,0.36474757232743843,0.35940037046748186,0.359433292399563
max_depth = 7,0.3371958905569788,0.33965793528454424,0.34618742605022373,0.3515391231685075,0.36129665871112054,0.3572746715744045,0.355110139120435
max_depth = 8,0.3432036733855547,0.34368842423631835,0.34838834581304634,0.35857387111921035,0.3627562320618562,0.3595113881660774,0.35683814903038547
max_depth = 9,0.35098000272859275,0.3551005130372552,0.35444028971787667,0.36602457468116234,0.36612812132810985,0.3649828585301551,0.3631626408269017
max_depth = 10,0.35583568762236645,0.35925879697349106,0.35850077503343275,0.36711117260447945,0.37219682346188065,0.3656208744099218,0.3574764221556312
max_depth = 11,0.360231978147543,0.3621794374476585,0.3629426638616385,0.36469679109861075,0.3734876435318689,0.3722240982644909,0.36719933587817544
max_depth = 12,0.3598555772607544,0.3597873982151631,0.3626355378669172,0.36003073621714604,0.3691005949829215,0.37960413322323294,0.352745786042525
max_depth = 13,0.3566975779878191,0.36051826858875463,0.36494406421742215,0.370913014647925,0.37378718993831794,0.3694242796265991,0.36112749002632477
max_depth = 14,0.3609148386869866,0.36878280841392824,0.36999796105075655,0.3709744023962141,0.3738933770482916,0.36638794227944993,0.3606909614362653
max_depth = 15,0.3682386505779247,0.3622947299390108,0.3648085211592583,0.3752911024935936,0.369504971309384,0.37352510763685043,0.3689764358552994
