,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.24859910624061957,0.2697762949249549,0.2817646032234132,0.32616694137849545,0.3752096518990264,0.3856632234845523,0.3955992483464119
max_depth = 2,0.2899692707122761,0.3073180432929165,0.3187767798326742,0.34748014488125734,0.3810070802251199,0.3872985025733767,0.39538909471635464
max_depth = 3,0.3260607260470608,0.33449033402825107,0.3424619324312399,0.3628653816136881,0.38404335692004016,0.39264535985682086,0.3989262368576348
max_depth = 4,0.3474302356148049,0.3573633814638737,0.3649513825744141,0.3758639777523196,0.3928642889434332,0.3997394325399224,0.4016279197925728
max_depth = 5,0.3674460993719909,0.37193979238877223,0.376827675615456,0.3858443245759987,0.39626201956713514,0.40200929320499107,0.40635784440918493
max_depth = 6,0.381734107489962,0.3845755143603542,0.3922705988133843,0.39967744289816753,0.40393481146741794,0.40760901458790677,0.40605554114984105
max_depth = 7,0.39453009336754585,0.394716159787349,0.39529928622188537,0.4044206559086013,0.40812094627462836,0.40759157257944933,0.40004537429172726
max_depth = 8,0.40410419808272635,0.4028288964617776,0.4047437086148529,0.410723028626956,0.4064658353208497,0.4130484645418517,0.40478819874219085
max_depth = 9,0.4102240339112309,0.4083057526272502,0.41063463130960937,0.41707430820283314,0.41651495571487174,0.4138661787674284,0.4078136560281155
max_depth = 10,0.41184770333652176,0.4148390274395721,0.41472738934128195,0.4175338083109482,0.41311998180590026,0.41747017712313883,0.4098863493218151
max_depth = 11,0.41955821670707993,0.41745136089388357,0.4215592349983684,0.42352787547316867,0.422404778030503,0.42492482043421104,0.41234701515428795
max_depth = 12,0.4187763807238757,0.4224007995676152,0.4199249696248324,0.4207445076633965,0.42115531897410524,0.4208164993302187,0.4093270264125865
max_depth = 13,0.4225963424667264,0.423655147885379,0.4315784303146135,0.4248028653095141,0.4207654238986825,0.4218871882525586,0.40791940195779564
max_depth = 14,0.4243715740450855,0.42341514609727293,0.4266124831850285,0.4239630733005536,0.42343882738720173,0.41735569200565636,0.41834760593180015
max_depth = 15,0.43076014270911095,0.42351149455624626,0.4336396950167094,0.4221310808461955,0.42315352000267054,0.42886173395557664,0.41495167426740776
