,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.32472590836350257,0.3211222209298439,0.3188625111954071,0.3272343441689219,0.34920813352511154,0.3539335299769104,0.35260729765435284
max_depth = 2,0.3451297049247184,0.3440169236542653,0.3415184124000496,0.3423504397297895,0.35682199283751226,0.3542549985944915,0.34958114666470286
max_depth = 3,0.36255286487575883,0.36006070596449413,0.35774532323665675,0.35814155220450594,0.36166328124594,0.3574410404596243,0.3537504515627012
max_depth = 4,0.3732456912994916,0.36995606791103547,0.36486547741734976,0.3650750691180803,0.36343550410478626,0.36254682918857845,0.3577482961894065
max_depth = 5,0.3817360160449783,0.37838569855435955,0.3786180145546883,0.3722362349896647,0.3646337749732543,0.36516566878644324,0.3601372094614289
max_depth = 6,0.38099078119266633,0.38141980599555514,0.38263362486787655,0.3771772204361059,0.36719953922394744,0.37021955514918864,0.3630958056551369
max_depth = 7,0.3881975031533515,0.3906881912109223,0.3817640388553706,0.3793438516340108,0.37722610377156696,0.3699714880705265,0.3608531765993071
max_depth = 8,0.39607947879233973,0.3846206683278119,0.3870483193158544,0.3835469089583781,0.37483255785839537,0.3656363022471364,0.35992678018385116
max_depth = 9,0.39510344996240965,0.3968166956768883,0.3887247814214612,0.38948111881001546,0.367624254531705,0.3807952425119476,0.36133809340378287
max_depth = 10,0.4010791853697456,0.3905387876259903,0.39576355726421636,0.3934563007471641,0.37658001217406756,0.3720837710159798,0.3667911636048208
max_depth = 11,0.3993803345991515,0.3997089758320293,0.3937065598537399,0.38670616650834866,0.3816779311800857,0.3680390854546545,0.36680424656047483
max_depth = 12,0.3992233207861567,0.3999702768271651,0.39983293823946997,0.3886732575256488,0.37481797762169444,0.3692311753345567,0.3661002215313141
max_depth = 13,0.39516777974159584,0.3955604742172501,0.3962846091559322,0.3904937606285913,0.38449250966398774,0.3750072612139452,0.3694367974656158
max_depth = 14,0.39626939669699396,0.40726686781079857,0.3917361970620603,0.3862754530024904,0.3744799255287343,0.37520633132663866,0.3636148218408345
max_depth = 15,0.4025700178629038,0.39905168944386626,0.40209655535022204,0.39068748575528645,0.3797254505335484,0.37105569664028415,0.3728166000897943
