,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.24699122445342592,0.26413260079765355,0.2784699622790855,0.3142576359796472,0.3607450657605955,0.3647820437320857,0.3660424032194263
max_depth = 2,0.2946582391249449,0.3078811907462168,0.31497217654689613,0.3419948886233751,0.3664463058653635,0.37049727651147724,0.37441662161385
max_depth = 3,0.3252393199571535,0.3328986317809924,0.3414020572637221,0.3601975990947543,0.37161265908182156,0.3751942335219479,0.37718607517562425
max_depth = 4,0.3445687935415358,0.35193858332270894,0.3546933303841198,0.36713643739194624,0.3774223350687464,0.375435167048121,0.3835218557069911
max_depth = 5,0.3569231909506507,0.36545089869975955,0.36254533597507654,0.3817393397656228,0.38469055124154866,0.38553452224864265,0.38405225335018417
max_depth = 6,0.3670876036181452,0.3730023999641253,0.3769384079963831,0.3854574182692862,0.38769624194388763,0.38820387045151494,0.3907064192348856
max_depth = 7,0.37648725461922383,0.38400207178738566,0.38459543528554024,0.38774809056807247,0.39341241387309894,0.38989190370653765,0.3832625491944407
max_depth = 8,0.3866355809682284,0.3847531033306742,0.3876891912601458,0.39708814030241735,0.39192997045707906,0.3933852996547828,0.3843629234649365
max_depth = 9,0.39325702458935,0.3921186166098403,0.3927464388870817,0.3944604953643606,0.4010696257376521,0.39562560600651225,0.38867178731171376
max_depth = 10,0.3929386736104528,0.39762910493004866,0.39736531729278085,0.39915313001636377,0.39321825157093593,0.3998911940917274,0.3929987955977581
max_depth = 11,0.40032389587773104,0.39783230603019987,0.4086656199280124,0.41073398839737074,0.39790123934208393,0.3974257591845671,0.38285817766958347
max_depth = 12,0.3975297284809969,0.39544178888812853,0.395345988368265,0.4038619905421932,0.39907706837164036,0.40172715509563095,0.39226223617791023
max_depth = 13,0.40132586300130507,0.4009595632111741,0.40012894242675195,0.3946362202724291,0.3922157640172049,0.4019954812814728,0.39309606063394675
max_depth = 14,0.3983172752865567,0.3975816615387889,0.4079606314368469,0.41132473997591523,0.40154002809180744,0.4023672771048396,0.38118177455635105
max_depth = 15,0.4022352641208646,0.40217367896561723,0.40392884073056606,0.41176084271674357,0.4037373885352167,0.3984523832235265,0.393358538650523
