,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 1,0.207159979431952,0.2161665937047021,0.218358282903288,0.24196591514120885,0.28954877307793786,0.3022549800695576,0.3013344144617435
max_depth = 2,0.24008320348142806,0.24798216660968983,0.24700094905246026,0.26402385999207995,0.3020189144030557,0.309376777455267,0.3125061510693416
max_depth = 3,0.26870344146627917,0.27401441813217436,0.2748807218003043,0.2844065263478825,0.3084259005939799,0.3127881322594977,0.3193072696457702
max_depth = 4,0.29013990085094943,0.28985265174214087,0.2910276083389442,0.3016407562260146,0.3184551149524335,0.31117727097023784,0.3206842006228728
max_depth = 5,0.3034961059677349,0.3055302971870707,0.30675646162719805,0.30918996629360057,0.32299895761097375,0.3193275056916785,0.307276036942234
max_depth = 6,0.3163213592489115,0.3122457880007557,0.31622910316282415,0.3260868711962809,0.3291438561926495,0.3180020216011777,0.31918469884136313
max_depth = 7,0.3197818019551381,0.3242440084592932,0.3243011588401141,0.31576753720504597,0.32893029174261906,0.3250267576849165,0.32578862463557584
max_depth = 8,0.3398772249613586,0.3289576702510191,0.33632769144535146,0.32849872280268194,0.3360565061462706,0.3328324331773907,0.3319293834462629
max_depth = 9,0.3396411421205706,0.3420764925082243,0.33814503799760487,0.33072719931220573,0.3324590344154169,0.3314715735798856,0.3279584316281775
max_depth = 10,0.3382445401083481,0.331873147864481,0.3361092614447023,0.32996082930035603,0.345727754887078,0.343089208368915,0.3265728386161274
max_depth = 11,0.33840966929001626,0.34711642506217255,0.33051954621646396,0.3463856123115454,0.33007579281178573,0.3329712861671828,0.32007731712502063
max_depth = 12,0.3431370977504594,0.34203288159044454,0.3378391977825198,0.3460242650819079,0.3450012599639991,0.33444219493075555,0.3344571989057059
max_depth = 13,0.35009525637933203,0.33746244991948615,0.35228748917432573,0.3444808896643158,0.34043313679247933,0.34146410210895844,0.31946651948898225
max_depth = 14,0.34220989496242565,0.3463659789185221,0.33150831187760477,0.3432197385265459,0.3479635049952223,0.34126949698168685,0.3280929194519925
max_depth = 15,0.34259015123429226,0.3527146792146943,0.3426460035716823,0.3435318668189265,0.34215364376066765,0.3362635325679715,0.31668772371650644
