,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.1016972224821675,1.1017703094620903,1.1013034458969115,1.1022507537148967,1.1144431557103232,1.1184693499396294,1.1276493320906744
max_depth = 17,1.097524787583268,1.100742413028039,1.0995506468531309,1.1041489099217487,1.1130302843692417,1.1199795698659336,1.1278534824368234
max_depth = 19,1.0973320613081081,1.0984721875881187,1.1005458847379639,1.101423861144761,1.1156775664339678,1.1162169141157565,1.1302299888835246
max_depth = 21,1.0996553024808229,1.0975156919031048,1.1002635208334524,1.1016197047211138,1.112951409531058,1.1146142794981087,1.126429907562504
max_depth = 23,1.099457951558426,1.1023492816319274,1.094386187369074,1.0982619872870205,1.1132772406558082,1.1143247158101945,1.1257840571415068
max_depth = 25,1.094682862076314,1.1000391708754798,1.096657747564665,1.1020211976149474,1.1129888414395228,1.1150581933598438,1.1293382796815499
max_depth = 27,1.0971230307588995,1.1011544447458077,1.0995510257139893,1.1017143594321852,1.1106986148153037,1.115920746305698,1.1270257676911606
max_depth = 29,1.0970376333244352,1.0998672531823737,1.097168875143423,1.101018862431403,1.1141367049477495,1.117819392548158,1.1254121387051768
max_depth = 31,1.09651903862153,1.1011716062629826,1.0975929686718942,1.1012332133005192,1.1145797518345104,1.1210964196647328,1.1265256507603902
max_depth = 33,1.096862155420864,1.1015127856443687,1.0964644951395095,1.100173360935548,1.1146129191950127,1.1189677364949384,1.1259130468719944
max_depth = 35,1.0965618182644794,1.1007092458887837,1.0974826967167997,1.1014011209329397,1.115102505630768,1.119530524597279,1.1256645193170944
