,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.0374378204759265,1.0399864066010778,1.0418416150340648,1.0416261233191557,1.0464090591910993,1.0488913453126774,1.054263720695856
max_depth = 17,1.0397642417558322,1.0368562802550323,1.0408499506269226,1.0408170642284202,1.043413091484705,1.0462694668466137,1.0557852189370942
max_depth = 19,1.0350039408939897,1.037306003606586,1.0399933187484203,1.0369374516490262,1.0430239650378215,1.0452395292796568,1.0533878732521167
max_depth = 21,1.0371912328925983,1.0382212640403903,1.0398301156392937,1.0378240331418285,1.0425227156478087,1.0481115386955473,1.054872183162732
max_depth = 23,1.0380211029700208,1.0363240818369939,1.0382340484069115,1.0394607645429161,1.0438894266809924,1.0499628038024185,1.0552601045444876
max_depth = 25,1.0393107905932353,1.0372982781377962,1.0362437098640425,1.0394547139067092,1.0457929648943318,1.045692216728149,1.0550265798163607
max_depth = 27,1.0381677091054946,1.0371632577589485,1.0358894883032626,1.0387816997664276,1.0465108348450458,1.0474546318913631,1.0536525316941738
max_depth = 29,1.0356133031856092,1.0349450596568008,1.0396242123226511,1.0435957966292464,1.0435864927876761,1.0470104347641298,1.0529162298080101
max_depth = 31,1.0346136610127683,1.036405999230133,1.0400767943498006,1.040783769909042,1.0440297309528364,1.047502632053352,1.0561102692399584
max_depth = 33,1.0351549128316395,1.0347572972499146,1.039990610270111,1.0409973243089266,1.043227742012418,1.0471861694298779,1.0538300486535859
max_depth = 35,1.0347254199782219,1.0354636824294972,1.0404315796834918,1.0411757182559813,1.0431898713791052,1.0475723683274771,1.0533955533344228
