,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.19190128337247,1.1968851877643594,1.1977741622661364,1.2019886524344792,1.2085778170662789,1.208133390105928,1.2259536976338123
max_depth = 17,1.195776788338322,1.1952722537484446,1.197654438045773,1.1997678405546721,1.2061534930964999,1.2094655838142785,1.2217015758226075
max_depth = 19,1.1945688146888496,1.1969619863890548,1.19591327729018,1.1981905888100273,1.2087198407275008,1.209609340833331,1.2218877455940083
max_depth = 21,1.1945417351237988,1.1965787959566259,1.195919576927894,1.197013677891365,1.2049029985003055,1.2108208748726506,1.2214460080347433
max_depth = 23,1.1928357265237164,1.1976802092665344,1.1972768113715815,1.1967981166040371,1.2061307715845437,1.208179644602913,1.223110514217066
max_depth = 25,1.1951579063342335,1.1949229249857316,1.1959426074078328,1.1967991563008067,1.2078255704624992,1.211301778792701,1.2290610091990621
max_depth = 27,1.195365386505897,1.1952178311930497,1.1980111399538074,1.1960956987567033,1.2083408723482303,1.209754010818965,1.2223775179450496
max_depth = 29,1.195481412277997,1.1948880323320523,1.1951206808439618,1.1982602896065302,1.2075486288039825,1.208148060297037,1.2208020197591651
max_depth = 31,1.1963524976103872,1.1955482288486887,1.1963811715253905,1.1967819249411678,1.2076576751842056,1.2085419463993061,1.2221234836448334
max_depth = 33,1.1967967956231305,1.196010334680143,1.1955398341795287,1.1990171697813012,1.2072757938383816,1.20863272510335,1.2221814995130045
max_depth = 35,1.1963715081222763,1.1959805810396433,1.1954926333779667,1.198746655655353,1.2064322736606836,1.2074690711769105,1.2221426485232383
