,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,2.689532677558589,2.6912562859596267,2.693488326215794,2.7041631830628723,2.7214533629799815,2.731278517174036,2.745566594055236
max_depth = 17,2.69138197843652,2.6911589516631413,2.6981248267874327,2.694261825455886,2.7102786882620884,2.7281224400877693,2.7467581841703383
max_depth = 19,2.6904398821780213,2.6924746431847635,2.6928815236498633,2.698462259619789,2.716040682146302,2.717875916678997,2.747497039484869
max_depth = 21,2.68532226497958,2.692581343178099,2.6990217000215293,2.697711535716408,2.720068490718765,2.715912512510355,2.7437023852871425
max_depth = 23,2.6908805650082277,2.6933496553139724,2.6912612663979973,2.6984651623382065,2.7092084098633062,2.7230717922113916,2.74012619046626
max_depth = 25,2.6847094133555647,2.693195996201412,2.6972180308841454,2.7065202749547663,2.7162679376101533,2.7269567184966794,2.74545908769776
max_depth = 27,2.681692851347788,2.6998225162297222,2.688309814105984,2.694158396268085,2.710444264454476,2.721206011832082,2.7452242710625288
max_depth = 29,2.692053765215526,2.686399251118684,2.6962336461800946,2.6966649141893364,2.712748669235749,2.726316970335668,2.7434699768284974
max_depth = 31,2.690392557521257,2.6893915073454715,2.6938395011783585,2.699332631091439,2.7259800473152116,2.727079618734836,2.7403185651158783
max_depth = 33,2.685774524007136,2.684719284601603,2.690886615834019,2.702910514974082,2.7174907314199244,2.727649089852468,2.7407726416201856
max_depth = 35,2.686078623935152,2.6862251115332407,2.6900505353834627,2.6996696378575917,2.723236073459434,2.728690117306361,2.745605007441004
