,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.3268791269192997,1.3281850533217157,1.3292376836666735,1.3282509432540832,1.3447222897372983,1.3511592706822908,1.36753046537101
max_depth = 17,1.3309089481458494,1.3279960304445821,1.3258106299844794,1.3312984810220683,1.344546409565425,1.3522784880958867,1.3677953836648207
max_depth = 19,1.3223063910411128,1.3264728243744421,1.330038910791381,1.3299925747509396,1.341807320805411,1.3496068693985068,1.3670708413375787
max_depth = 21,1.3283854114457734,1.329350298562294,1.3284803330398642,1.3294656912428966,1.348956995467384,1.3490266320809534,1.3707393198517985
max_depth = 23,1.3253111610170563,1.32926992032225,1.3290717541690351,1.3326070707408657,1.3417895064433036,1.3536374907214717,1.3596864464083602
max_depth = 25,1.325239950553608,1.3268015695741238,1.32360680512726,1.3311958129095978,1.344313769753257,1.3527655159721899,1.3659408907852768
max_depth = 27,1.3302170937153879,1.3292728669132048,1.3280186066104256,1.3322407820089663,1.3440501052394638,1.3512108438288564,1.3671909850550865
max_depth = 29,1.326756454164927,1.3292358149411108,1.3285541561635759,1.3281081937989903,1.3442433270512824,1.349961679728982,1.3648401800822558
max_depth = 31,1.3284365873992514,1.3297805306555013,1.326883300275666,1.329199829220429,1.34346846889909,1.3543600609360478,1.3686414131646005
max_depth = 33,1.3281970801285152,1.3288351215254457,1.3278727497707743,1.326684509542905,1.3448529280552135,1.3557075417716582,1.367536339231362
max_depth = 35,1.3289670175925092,1.3291360823319478,1.3276484029659021,1.3255279474485875,1.344800154406491,1.3550050519982861,1.3672815782018908
