,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,5.8408775430067825,5.836348634190754,5.8484177535648305,5.843465142766447,5.878347216789359,5.887646002561309,5.924827495671771
max_depth = 17,5.824058472549744,5.836236075934183,5.842253258202061,5.851593832688319,5.869380874648401,5.884422800432882,5.925612014277418
max_depth = 19,5.830352327490908,5.841379573180903,5.84414680656538,5.847341289649707,5.868151993009432,5.878588402803713,5.921324876115113
max_depth = 21,5.820254871905121,5.837123929175777,5.850642597023123,5.843856449183263,5.8667163735678,5.8885212625569725,5.9101994917843514
max_depth = 23,5.8397276666859685,5.82829153237923,5.8372918216789085,5.851495693791253,5.8724025031119025,5.893307722967369,5.91739796655836
max_depth = 25,5.8355956638877595,5.840358559568296,5.846530636443396,5.835029414612516,5.869853706654598,5.89328569345572,5.923513385454096
max_depth = 27,5.835246549089919,5.839875079794459,5.831761910111732,5.847886328407847,5.872356044106811,5.887033911295287,5.916819264004162
max_depth = 29,5.825590882585475,5.844035090894348,5.84218062929925,5.85461661265463,5.874715629225867,5.892408026403549,5.9286617816117
max_depth = 31,5.830717923648942,5.839130353738292,5.839264516395031,5.852627425222073,5.884908322537894,5.883755240249004,5.932026934848133
max_depth = 33,5.828519123803044,5.8438546529821185,5.8373717817508,5.859768092061596,5.8803542019721355,5.877178543755621,5.930659856503824
max_depth = 35,5.8278414507076,5.845258789176216,5.838305575793713,5.8570525969717275,5.880224912069854,5.883392051313371,5.929249128465319
