,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.4173376648105827,0.42016411405316667,0.4250219239881859,0.43194163938792957,0.4171128913803535,0.4200525796790052,0.4190143487852665
max_depth = 17,0.42197318581527854,0.4225489629726581,0.4285727248496736,0.42476547089208705,0.42281319982000215,0.4130609628966051,0.4160875623538462
max_depth = 19,0.4252954808300054,0.4237329282713397,0.4282887138654034,0.4287446857670314,0.4174741951929416,0.4213631434296068,0.408871698293825
max_depth = 21,0.42241394675548355,0.4259287152531645,0.42559784383561355,0.4332869995263279,0.4242907112711686,0.4301845846420921,0.4186978008916329
max_depth = 23,0.4188131992255104,0.418989037751149,0.4380315335116682,0.43772904084161735,0.4230190316756576,0.42604250987377285,0.4140472987959791
max_depth = 25,0.4271669949819593,0.4241367886543464,0.43477748050451775,0.42967347337119727,0.4218772078730419,0.4202702616547116,0.41495926622709706
max_depth = 27,0.42677334090607555,0.41945025473059444,0.42580223375643833,0.4290294607486731,0.42587818621006884,0.41116715789086283,0.4184009102213602
max_depth = 29,0.4275015234544943,0.424352233342128,0.432144992778417,0.42836733976865526,0.42153122851631386,0.42395903966512277,0.4208602510612867
max_depth = 31,0.4229457820617853,0.4234866423358793,0.4337833729507216,0.43028387956323927,0.41621695691103827,0.41045656537687,0.41916034351832954
max_depth = 33,0.42408000222277586,0.4231360103962784,0.4348784135721539,0.4313672602333316,0.4193499599543607,0.41768620842587917,0.4212364771158091
max_depth = 35,0.4229688600208053,0.4253922469553337,0.4338658552214834,0.42781972656132855,0.4178647296313311,0.413484065823001,0.42114509935259026
