,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.36823865057792476,0.3622947299390107,0.36480852115925827,0.37529110249359365,0.369504971309384,0.37352510763685043,0.3689764358552993
max_depth = 17,0.363040229087798,0.3663322187582071,0.36723266795417725,0.3689983961701914,0.3814803452953255,0.3743234492846873,0.3631742405022876
max_depth = 19,0.36886261853426455,0.3670477575318767,0.37073889207642,0.3765103642103244,0.37562559961409425,0.3690915051093587,0.36514739158747617
max_depth = 21,0.3654115722163513,0.3705833165097946,0.36163261455600776,0.37828415942825955,0.37685837111996406,0.37044303950587265,0.36284141324205715
max_depth = 23,0.36570653944983905,0.3696251874377903,0.3680715702039025,0.3710684214465488,0.37710086062301146,0.3654101134350903,0.359935942308952
max_depth = 25,0.3579188616390064,0.3717380590978924,0.37199708095250417,0.37447946540959254,0.37215301852872046,0.37963817963546276,0.3586279466257949
max_depth = 27,0.36383778122703514,0.36872581503845,0.3755773382140018,0.375017101725639,0.37078387254082634,0.36755368773749264,0.36432424749396797
max_depth = 29,0.3707497055981706,0.37621357111292747,0.36483687279051286,0.3669538294250248,0.3768608929702876,0.3702923201177266,0.37107706758361975
max_depth = 31,0.3692159971991802,0.37365198551478485,0.3667331224933373,0.37228078087656313,0.37301725851475603,0.3706879765647363,0.366394888275483
max_depth = 33,0.3688919819726363,0.3756815035493713,0.36519983784208965,0.37398062404284704,0.3750216238318522,0.3697292257712964,0.3662319886649347
max_depth = 35,0.3696178244965837,0.3751463997487236,0.36536783453680116,0.3729941806304254,0.37558554240663533,0.36716233799438797,0.369100078382822
