,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.43076014270911095,0.42351149455624615,0.43363969501670957,0.4221310808461955,0.42315352000267054,0.42886173395557664,0.41495167426740776
max_depth = 17,0.4232792605387357,0.4283406910238182,0.4243140711486112,0.42883819328991,0.4275238709482542,0.42694387095895936,0.42226000065089103
max_depth = 19,0.425941131518816,0.4239864207762524,0.4271182823613852,0.431146459171002,0.4236627215590334,0.4232227179139025,0.4207766034434537
max_depth = 21,0.4243596805461493,0.4256238826846702,0.4268731056710706,0.43075224050883193,0.4290913865388396,0.42365052340277265,0.4105262101434992
max_depth = 23,0.428624817342418,0.4298984284121547,0.4270572534513816,0.43193389498074536,0.4208015357565083,0.4279802035521049,0.4122618152016693
max_depth = 25,0.4302551043994574,0.4292886528963384,0.43311208524819755,0.4320990183139191,0.422403002951726,0.42494316598441945,0.4031980638166376
max_depth = 27,0.4253688817075609,0.4314321429445142,0.42619699200113537,0.4325644005659649,0.42627620165601776,0.4223812142286011,0.41838371087566023
max_depth = 29,0.42571381796135516,0.43238879050831797,0.432343400343193,0.4270099872740298,0.4274148433440482,0.4259466066759775,0.4143868347045541
max_depth = 31,0.4247780229391268,0.43195334062077534,0.42976896486858784,0.4311436654360116,0.4230492721161548,0.42228128100605256,0.41722262719304787
max_depth = 33,0.4226712429229996,0.4302567414578109,0.4306559074114028,0.42604495996722336,0.42590205126827,0.42533578274720657,0.4112623110480354
max_depth = 35,0.42315422498193583,0.4293376844606916,0.4310402997074478,0.42684948117852195,0.4280947213673665,0.42669165365570566,0.411644973881868
