,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.40257001786290386,0.39905168944386626,0.402096555350222,0.3906874857552865,0.3797254505335484,0.37105569664028415,0.3728166000897943
max_depth = 17,0.40028154555419876,0.3977172115045209,0.3877538838494018,0.3952024260534758,0.39482308231925617,0.3800223141606368,0.37446830919662943
max_depth = 19,0.39809994937215126,0.40193070561466876,0.3959516574590582,0.3894001127607202,0.377029837001581,0.38808652283142014,0.3699916743578603
max_depth = 21,0.40038309363806596,0.40020187943455665,0.39326787444005085,0.38991341545600694,0.3809132037833018,0.3912065281302041,0.3656240193135294
max_depth = 23,0.39835641223023954,0.40197555461824264,0.39925994470565834,0.3965427860032099,0.3876695709983853,0.3824487467992014,0.3700445769829944
max_depth = 25,0.404552522805421,0.39650194526902854,0.39296656214400894,0.38764253582020014,0.3871153748232178,0.37339077568623846,0.37895154874382847
max_depth = 27,0.405766725150837,0.38808392143240267,0.3985439188524289,0.3940472941408562,0.39019243126333597,0.37670398840447944,0.37072347473247275
max_depth = 29,0.3985290598077851,0.40466600843695694,0.3921219470666469,0.4018396258390518,0.388323194976646,0.3736398191225971,0.3748095458171577
max_depth = 31,0.39708565447434563,0.4071141433933331,0.3929883804571501,0.38815128023459766,0.3761429435493513,0.3725550043772755,0.3744759913545726
max_depth = 33,0.40241844613550115,0.40853066580276776,0.39909424882463085,0.38698099247892553,0.38025919238385264,0.36893092983764886,0.373192699065838
max_depth = 35,0.40284287701496274,0.4083798258528173,0.3983104395189192,0.3900634272802968,0.3731549020420248,0.366372004212306,0.36401067498303014
