,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.4022352641208646,0.40217367896561723,0.403928840730566,0.4117608427167435,0.4037373885352168,0.3984523832235265,0.393358538650523
max_depth = 17,0.39666788408962733,0.40819121660824276,0.41063924193242485,0.4068063398426463,0.40292502702612,0.3948951067379668,0.40000636356856073
max_depth = 19,0.40755430860388525,0.40864703305642935,0.39801031400274495,0.4083715048718869,0.4075223313723085,0.40403420119541106,0.393015341569157
max_depth = 21,0.40381257569369794,0.40443724980461493,0.40541189286006396,0.4116891610986124,0.4050463781060873,0.4033557417154798,0.37838545656955136
max_depth = 23,0.4077674407808755,0.40616916413163134,0.40453686163603575,0.4060835610334343,0.4078851355841979,0.4003462093893997,0.4060874554566507
max_depth = 25,0.4062152741085236,0.4062873900275196,0.41381361101901215,0.40828614554028747,0.40730641346737095,0.39486826255650853,0.4022437480156542
max_depth = 27,0.40012162063624873,0.40159242308154564,0.40857943932462804,0.4047917167132543,0.4078851717858632,0.39443839248144186,0.39103405168821487
max_depth = 29,0.4014305455861245,0.4019608595348852,0.40957724390272304,0.4099813937591128,0.3984920984251724,0.4014679510759435,0.3971328997852584
max_depth = 31,0.3995347413465741,0.4053210040862985,0.4095450578861013,0.4099276058567443,0.4038238489708732,0.39328097078209157,0.3883382558017832
max_depth = 33,0.39973176640240554,0.4035561647587622,0.40583913740625577,0.41339234496028876,0.40480693020166636,0.38959572274907167,0.3843374852684708
max_depth = 35,0.3972305951834379,0.4056128090184113,0.4076165410657919,0.4153478791040087,0.4064049110755239,0.3898469088581916,0.38597861871856853
