,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.3425901512342924,0.35271467921469435,0.3426460035716823,0.34353186681892656,0.34215364376066765,0.3362635325679715,0.3166877237165065
max_depth = 17,0.3480067109489294,0.3498690849928512,0.3382340915923225,0.3435063172422256,0.3403190235153399,0.3382019527078033,0.309977871481818
max_depth = 19,0.34344251767665507,0.33594536935954117,0.3289917596232479,0.3427836666987799,0.3364894606870178,0.34672988928905496,0.31368323379326896
max_depth = 21,0.3507875311883749,0.34656205181804833,0.33647767166489484,0.3500757174446325,0.34823475327179826,0.33046560974766176,0.33129917653905605
max_depth = 23,0.3376744893951147,0.3469242064316905,0.3475428006798765,0.3468125143684642,0.3388904774635149,0.317553808526138,0.3002242047881145
max_depth = 25,0.3401119535785945,0.33896827085456205,0.33915255819695295,0.35965380518982404,0.3399228534913339,0.3305786484789859,0.30422085175307045
max_depth = 27,0.34269993720499803,0.34124572104009326,0.3449363626046679,0.343590618489492,0.3379448387040478,0.3369020183023942,0.30985539858334255
max_depth = 29,0.3456270152734844,0.33122044476865203,0.3404202979143672,0.3400643699047857,0.3389554131775026,0.33146165135506955,0.3097352901651245
max_depth = 31,0.34118003073106673,0.33782919547025614,0.34290782891510313,0.33904470588322994,0.3296100597329272,0.3405610409115065,0.29874617970168404
max_depth = 33,0.34252504814814605,0.3345394440463163,0.34613193347210847,0.3322605909884602,0.33167079652737663,0.35084491068800233,0.2978995368469295
max_depth = 35,0.34386227945100334,0.3323298583148388,0.344420060401077,0.3345336758633399,0.32888159406312484,0.3414770421046235,0.2998776713015053
