,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.1139177096257256,1.1170304557182085,1.1171564036275121,1.1162433002291667,1.1289020724986087,1.1285059821424146,1.141786697820975
max_depth = 17,1.111869071335614,1.1139271738194088,1.1132946668190642,1.1136924807878859,1.1256859261354766,1.1260318606466022,1.1333429818472178
max_depth = 19,1.1121299571210574,1.1114673169485918,1.111992056562945,1.1148986926037738,1.1233690981835796,1.1247204980061336,1.137554606773538
max_depth = 21,1.109846895892238,1.1079549446318637,1.113421050874802,1.110478064447173,1.1242864752850024,1.1264095360199136,1.139109473054438
max_depth = 23,1.1144601020599623,1.110169620412908,1.1129791570927385,1.1155703155236258,1.1207844835563712,1.1271041326009255,1.1358537430348499
max_depth = 25,1.1103243094354724,1.1112237370096294,1.1116481303180754,1.1160593648718105,1.124563691698278,1.1269892428532577,1.1347033208329875
max_depth = 27,1.1123128915937288,1.1133230807792491,1.1134931900075853,1.1141353530079237,1.1246450268103672,1.126107538653775,1.1350657134536233
max_depth = 29,1.1087787968886178,1.111080091648999,1.1124112798671182,1.1131990937622227,1.121840650499884,1.1240068797283416,1.1373367976761481
max_depth = 31,1.1116387621155104,1.1125087264619107,1.1132550777217198,1.11530451237436,1.1247300282448296,1.1239356632815902,1.134153783471666
max_depth = 33,1.1104137869499118,1.1119548135326642,1.1121731268685393,1.1158890469961307,1.1227490636848172,1.1239306598540286,1.133640299097987
max_depth = 35,1.109855680503129,1.1116227807710444,1.1122484174844804,1.1151827886462697,1.1226247725773453,1.123574849762143,1.135374862586473
