,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.0477487083044565,1.050500648928508,1.0494367652830552,1.049798267199594,1.0571505654538573,1.0576154371487319,1.0663716811355868
max_depth = 17,1.0474669076950291,1.0492850074603248,1.0460858119393763,1.0457483042473874,1.053226969610816,1.0573085294852673,1.061245524915298
max_depth = 19,1.0472517437904698,1.0487288596995599,1.0485837841149426,1.0456092616000257,1.0522130299749664,1.053993270380717,1.0644609535621434
max_depth = 21,1.0461410502500796,1.0455266914138668,1.0456391070536173,1.0471531374991871,1.0528508327330561,1.0565460414816543,1.0643930718322634
max_depth = 23,1.0492814209821077,1.0478735857891153,1.0477353501476907,1.0473119521635608,1.0510475098197567,1.054734278643465,1.061603703299289
max_depth = 25,1.0477272757076148,1.045749939481943,1.0486634525385108,1.047605313547804,1.0533864907095858,1.056686762525399,1.0627639614968116
max_depth = 27,1.0465995307931846,1.0458962460880192,1.0499802026208345,1.0464910174945834,1.0548547450016394,1.052155173994899,1.0586904353088744
max_depth = 29,1.0474337837906038,1.0496935560226528,1.0481173955630425,1.0459411260946911,1.0511929154575206,1.0527939240602153,1.0591473592127496
max_depth = 31,1.049182878631143,1.048753285380256,1.049439893318182,1.0487246803431771,1.052890068919552,1.0529686623419874,1.0597798819571858
max_depth = 33,1.047544976308601,1.0478698973024325,1.0488457807003642,1.0485305673630485,1.0496705155252801,1.0549396989466233,1.0597836800525273
max_depth = 35,1.0486521843124201,1.0471825420190592,1.0488170458448558,1.0484237889462877,1.050514564807269,1.053396645853134,1.0608193307180087
