,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,2.701668921910152,2.700913015166283,2.6987014143629158,2.7054697595879578,2.722835371034618,2.727574431053443,2.7460343439889345
max_depth = 17,2.6915775618392135,2.699037679900259,2.6947644391017724,2.698201120115311,2.719314766254197,2.728279503227433,2.745148118011445
max_depth = 19,2.694091888287951,2.6947034770562563,2.6929418647209875,2.6978086212881425,2.7142706097086586,2.7166985364949325,2.7502617992162066
max_depth = 21,2.688862582756202,2.6935657442198604,2.6982265096390505,2.69332018571512,2.722391021618233,2.731793385949057,2.7459441895077443
max_depth = 23,2.6907859137767534,2.700483283992959,2.6992678514317268,2.705109049812212,2.7212756007616683,2.7239477346916656,2.7450615263107676
max_depth = 25,2.6931532595244723,2.697843975008418,2.707298768512919,2.705459727663768,2.7253400211159295,2.728631030393836,2.7547926281883854
max_depth = 27,2.696602873399058,2.696866615685093,2.6962830188882463,2.700807142035405,2.7225761166768025,2.7244137781439615,2.7498224932097917
max_depth = 29,2.69586071926814,2.698989478420417,2.694939727923443,2.7040417232024123,2.716752324881416,2.723014039577333,2.7541635850650503
max_depth = 31,2.69585422152165,2.6985567188128505,2.696570682963392,2.703257028985584,2.718599432922644,2.726968608240327,2.746889426743303
max_depth = 33,2.696465889108603,2.6960278205463974,2.692336734454609,2.7016470887616935,2.7221514177116974,2.7262828579900527,2.743541611545196
max_depth = 35,2.6946634360933532,2.6973109341230366,2.6927891021027084,2.702676545417654,2.719822959658598,2.7265259420977235,2.7454967866082036
