,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,1.3366259254447668,1.341244398659495,1.338806119403597,1.341860427576943,1.3514828549309126,1.3594263052323436,1.3716876993855922
max_depth = 17,1.337208985155725,1.3380195993991848,1.339312936219835,1.3411288794416878,1.3506605753415661,1.3576935922503717,1.368135708903048
max_depth = 19,1.3370384575852199,1.335208542563787,1.336256098741303,1.33669766643919,1.3525213457109722,1.354397588325395,1.3735908474495613
max_depth = 21,1.3361272411471468,1.3313518098676205,1.3378197247358448,1.3386532865295362,1.3556150047041398,1.358602573803992,1.3728727361206507
max_depth = 23,1.339859014566156,1.3382366850024874,1.3365318898821652,1.3416357339700382,1.351624228448456,1.357249070130238,1.371590552144357
max_depth = 25,1.335612801340213,1.337539027706272,1.3364766614534342,1.3384143216819389,1.3560260587521038,1.3550048739298228,1.3737272508277176
max_depth = 27,1.33674163765907,1.3349754835666823,1.338373612825285,1.3394975507071727,1.3513465983737774,1.3540003168833363,1.37185672938265
max_depth = 29,1.338959053602161,1.336350933480444,1.3386141344616522,1.337652481931866,1.3477771065755277,1.355600955266087,1.3720900571264893
max_depth = 31,1.3385376807244411,1.3382640014757476,1.3386179735972938,1.3374624118975424,1.3494923572279554,1.354682648006708,1.3723343754411896
max_depth = 33,1.3379553771985835,1.3364146183672911,1.3369582466245116,1.3377398944266456,1.3488208770655683,1.3551238236178502,1.3699388532967987
max_depth = 35,1.338269056943539,1.3370943390169168,1.3365221247523713,1.3377078598113739,1.3490992989887656,1.3540100070125327,1.3707113902702235
