,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.4081751300184248,0.406967105539004,0.4083028796292235,0.4152440405289406,0.40038894309069084,0.411031902482433,0.3864896451716932
max_depth = 17,0.4129631284649258,0.40963875845263925,0.4168733398211563,0.4170354774457022,0.41021566107139235,0.40259650551988946,0.41195236687977654
max_depth = 19,0.41410188706236334,0.41623159759038436,0.4184498549120334,0.4233943155199827,0.4092140348868881,0.4141361936689612,0.39631532305703115
max_depth = 21,0.4192056386218221,0.4260641214837196,0.4187702727540866,0.42407873620032144,0.4063077576693834,0.4054690858343245,0.39028374043341385
max_depth = 23,0.4098443369898347,0.41756318207533116,0.4104700653850647,0.4107482458491712,0.40770593784198617,0.4001442143656273,0.3987791881498786
max_depth = 25,0.41864261165399447,0.4171567387494767,0.41590395685786585,0.4141544863429904,0.4055904654223298,0.40562677106220846,0.40284558381721286
max_depth = 27,0.41667578461487786,0.41794388332232013,0.4123099146786032,0.41410813834778476,0.4016475062625138,0.41331450488358135,0.4047641636648836
max_depth = 29,0.4189740937173082,0.4104740922591611,0.4175568409644294,0.4183729308583541,0.4182737415333552,0.4118419647209786,0.4025221891443363
max_depth = 31,0.4136199142187437,0.4141060082809973,0.4237034363503735,0.41471376562969353,0.4075949167550945,0.414718255046151,0.40994253799325797
max_depth = 33,0.4169223933720094,0.4148794292846176,0.42392455780571153,0.41434051525032417,0.41073575632467757,0.41359972545198426,0.4118280086193046
max_depth = 35,0.4178668859065475,0.41654900392674615,0.4233774611882873,0.41517595320139417,0.4098220761863327,0.4142663516006218,0.40658945018437104
