,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.3676245415077511,0.35997893257224284,0.36146576973668076,0.3644852511542101,0.35755419411155076,0.36383550525234587,0.3450196388935527
max_depth = 17,0.36752777589935015,0.3590254016463401,0.36650579958211776,0.3711234992272201,0.3657404214573176,0.35778376341316687,0.36174211014072144
max_depth = 19,0.36036646155070146,0.36143248712943765,0.3672305734715668,0.37094730791087016,0.3650379612206722,0.3629499184482854,0.353319582058584
max_depth = 21,0.3710080819469468,0.3768470538622745,0.37334053380147014,0.3723388859371015,0.36542689656859595,0.3566071993602982,0.34639329702843785
max_depth = 23,0.36354033204096065,0.35913123313601447,0.36630834003934953,0.3695703773559734,0.3602223983338901,0.36408060236839435,0.3524916650003031
max_depth = 25,0.36697995637054437,0.3746879835585815,0.36105956032489755,0.3690793690950797,0.3623942237464797,0.3568728915959889,0.35195261155258495
max_depth = 27,0.3696269555112468,0.36975544503336266,0.3652617028105571,0.36912121194732833,0.36007186445369177,0.3708385319650619,0.36256669808536285
max_depth = 29,0.3693263642514641,0.3585735869814752,0.3678189540868169,0.37471414911386236,0.36893057035124727,0.3605468641587005,0.362921505865459
max_depth = 31,0.3636537373302002,0.36309894294517725,0.3650701919311038,0.37110851975304104,0.36282814344182807,0.36684468887227184,0.3652705978216017
max_depth = 33,0.3663512059019954,0.36601005662965397,0.37030827621353885,0.3706372358751272,0.371749571962314,0.3624656658154262,0.3660947922655594
max_depth = 35,0.3658430881090257,0.36755795834081606,0.36833704208340734,0.37307161404931566,0.37014887391372003,0.36621568355450285,0.3579697246538403
