,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.3824711284462413,0.3835458402546147,0.3858113696736345,0.37933052415910135,0.3728922523958765,0.3730515836782157,0.3655887014277917
max_depth = 17,0.3898932312400546,0.3836081704886524,0.39023990598102765,0.3891187391834355,0.38014687965709376,0.3681812900108178,0.3712673404172314
max_depth = 19,0.38835186109767794,0.3911268741560032,0.38539223433363173,0.3896992339322631,0.38288609772190074,0.38938963625143763,0.36198833714251716
max_depth = 21,0.39345968499105655,0.3932918844603958,0.3875089946447685,0.39444351853651777,0.3720781632050443,0.36738768388082654,0.3580145137201965
max_depth = 23,0.3961361558463932,0.3846005680458246,0.3890723871445048,0.38007162973496916,0.36786550208383734,0.3727862898418841,0.364062397703807
max_depth = 25,0.38907357491567646,0.3893696218335035,0.3803123638110002,0.38622842239310373,0.3662388872771675,0.37076101516943333,0.3526934518316107
max_depth = 27,0.3894498009379447,0.3914727717244682,0.38696900867018347,0.386449542034528,0.37318265962793334,0.37855814879896416,0.36168122719785184
max_depth = 29,0.39065782379607167,0.3831660237454218,0.3941115248387174,0.3849567431826438,0.376883412078981,0.3752298142430611,0.3657059098645453
max_depth = 31,0.38916420570702476,0.3867710203297285,0.3929792365911199,0.3831017078257392,0.3758847781584971,0.37024566125415886,0.3695362612856339
max_depth = 33,0.3893843331237602,0.3873560550243229,0.3931976413595275,0.3864222196201209,0.37242008119592956,0.37212672989823414,0.3735680561764967
max_depth = 35,0.3917220588215738,0.38637457040518336,0.39539450844460433,0.38609448300973337,0.374622767588269,0.3693535267549664,0.37454178705975
