,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 15,0.39974700671343627,0.39528450011372973,0.39932341095533086,0.4010153868865632,0.39625404838273187,0.3957882497775987,0.3849731683019683
max_depth = 17,0.3963984685023447,0.3984410006651403,0.3978829588541879,0.40112454099377554,0.4008130546162795,0.39264387124998473,0.3963637073733794
max_depth = 19,0.4004138116117665,0.4001649196089488,0.406651721581341,0.4082546470145513,0.39170685941894967,0.40085007210916096,0.3847138343723714
max_depth = 21,0.4044116572460569,0.41512990876886113,0.4022089258415855,0.4074156607594786,0.3852227024446479,0.3886214240081002,0.37586961231042243
max_depth = 23,0.3965166964384441,0.40342385222249033,0.4054077064168238,0.3969268530108624,0.3936597093693148,0.3936789621641649,0.38439744489615374
max_depth = 25,0.4049598753143295,0.4025100071141749,0.40250138872152424,0.4072367582201548,0.3842506945981827,0.3953755092209762,0.37319508691243714
max_depth = 27,0.3999258790765431,0.40333494978288387,0.39943590594527684,0.40586116535635214,0.39306536819568977,0.3976690608972932,0.3851848134683659
max_depth = 29,0.3968383390003694,0.3969913537562857,0.3979941638987079,0.4092320943221772,0.40449180823231823,0.3933507830110436,0.38474038938103705
max_depth = 31,0.39931114997771805,0.39735715760707224,0.3993807391011604,0.4081105943805852,0.39576776533190505,0.39675315164518626,0.38457049146714045
max_depth = 33,0.4017448460894858,0.39943220055779755,0.4013201918669686,0.40856510558605647,0.3993815291781212,0.39361832186734597,0.3877775327267532
max_depth = 35,0.40277526515935325,0.3977795897279667,0.40145809202273314,0.41013316799085414,0.4018689591540451,0.395787818753128,0.3871626260169105
