,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,1.4855691099518398,1.4776148503154554,1.4819654955420793,1.4848238197534416,1.4838637232187508,1.4822793537322418,1.482092473440692,1.4835526290194625,1.4820218948629904,1.4810263878478478
max_depth = 17,1.4797007955876411,1.4774512165690197,1.4821571170014267,1.4762957291178072,1.4783816300088133,1.4809845025781283,1.4796677797466982,1.4794100237673045,1.4782720506529428,1.477529777802575
max_depth = 19,1.4835411806176981,1.4794311848634438,1.48259764945891,1.4810864878136758,1.4780003694387691,1.4799535834996473,1.4784186011175333,1.4776781513237922,1.479456451984675,1.479008611982475
max_depth = 21,1.4776354930551903,1.4884362340956838,1.4825554844704554,1.4771968206915247,1.4812689904094172,1.4788228724775254,1.48121237574209,1.4794869163287732,1.4773379763274888,1.4790616392555238
max_depth = 23,1.4702535874853617,1.4863680903058902,1.47977509311161,1.4810654666000476,1.4806517878038732,1.478874023540116,1.4804575334109422,1.479427875206919,1.4808871499895082,1.480505582754986
max_depth = 25,1.4788272787010064,1.4789564178116348,1.4781506558538204,1.478926009882875,1.475237734407725,1.4797588522728227,1.4781405223606217,1.4782920161852635,1.4806268789452761,1.4811224754010859
max_depth = 27,1.4730101736045011,1.4769318577433364,1.480745433160143,1.4776312701541983,1.4797875313301072,1.479265520002064,1.477854969185263,1.479300511102789,1.4805151774070466,1.4812383521315016
max_depth = 29,1.4871718854900524,1.4785236775431068,1.4806078804114067,1.4804347978238408,1.4807908371853502,1.4796663255528506,1.478677656396344,1.4788721764561656,1.480355325802219,1.4813557087763687
max_depth = 31,1.482867234543015,1.479392576091901,1.480855874494917,1.4815069922306583,1.48070796152003,1.4796207010983748,1.4791639919741966,1.4792058191606245,1.4805749614392343,1.4813659453361592
max_depth = 33,1.4852349041173334,1.4784236316722097,1.4796388604878938,1.4815279804960446,1.4808425281927253,1.4798348388309168,1.4789748751089837,1.4790940658385707,1.4804373222029672,1.4815397167988973
max_depth = 35,1.4853865666,1.4780866689424954,1.4795274285546525,1.4812951635436409,1.4808154110827392,1.4795200111547193,1.478879754822835,1.4790940658385707,1.4804373222029672,1.4815397167988973
