,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,0.2922155893429277,0.3106888454192841,0.31086018285278694,0.2970270613345767,0.29888544832147956,0.30488808084802593,0.3056224596337241,0.30059842476413284,0.3002991570781356,0.2998637167775516
max_depth = 17,0.3033396580190192,0.30582345533848443,0.3074008643221646,0.3087210729077198,0.3095350832805567,0.303309272312914,0.302692067907845,0.30212551115696124,0.3044230637635662,0.3041928774930582
max_depth = 19,0.298011052408511,0.30569183469071964,0.3004621943470561,0.3038254341601907,0.3035945777437132,0.3069994262130059,0.3072952476284906,0.3020367476193702,0.3047306809108668,0.30383626562939764
max_depth = 21,0.30453540089696596,0.29566568508020835,0.30741447720603743,0.30720398439476804,0.30422283867774813,0.2990147657845079,0.30308533079892414,0.3041499478220965,0.30780714512576274,0.30491884006489467
max_depth = 23,0.300097310613933,0.30106277516818886,0.3075781132193729,0.30219288857614407,0.3014984631146532,0.3068501098226705,0.30113075936767314,0.3030164409409677,0.3064801401655802,0.302174066519088
max_depth = 25,0.2967452391134771,0.30468986076804633,0.3034260062435344,0.29930201195603445,0.3046783170411183,0.30925337584628687,0.3008218965380682,0.30361810431905106,0.3058756725793969,0.3029789818501179
max_depth = 27,0.3088160584564492,0.3088470472709454,0.30432704224303897,0.30598845706450406,0.3011420239288896,0.30621216292135794,0.30096240612581227,0.30206208746787727,0.30586269820992834,0.30292461404771787
max_depth = 29,0.3020182059734664,0.30107056213540695,0.30226447921616423,0.30232947418427336,0.3023389940248602,0.30599536612572037,0.29976586769216096,0.30203314421679284,0.30598673284531147,0.3024009046651039
max_depth = 31,0.30351792973256037,0.3025812362274092,0.3047848184278083,0.30312956782552336,0.30092662684261823,0.30561691177217665,0.29971022098217764,0.30201090634159594,0.3055771118080681,0.302232287486168
max_depth = 33,0.2963777199345993,0.30140758381181726,0.30676579578321106,0.3011881512379484,0.3003356250029565,0.30581042497540106,0.29997805338013284,0.3022163244111747,0.30551807644507206,0.30220285799772245
max_depth = 35,0.2996942429790867,0.3024154237952466,0.3066680427153437,0.30121428314442206,0.30045473185093663,0.3057272357729097,0.30019162878352385,0.30221632441117463,0.30551807644507206,0.3022028579977225
