,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.1467163145425143,1.1447360382445493,1.1442486174694686,1.1461145351696154,1.156143801537124,1.1597648026918241,1.1709155983457031
max_depth = 6,1.139115760469043,1.1375415322686955,1.1372842657008413,1.1395255743638513,1.1496099454278201,1.1526898729940833,1.166175872238979
max_depth = 7,1.1320687926584874,1.1306948220613149,1.130347992420418,1.132460326055024,1.1443233930772707,1.1474817365379195,1.1618141210122077
max_depth = 8,1.1266626722509336,1.1256696023919,1.1249585019248,1.1282364156773905,1.1392122192769947,1.1417509069006604,1.1559295201100812
max_depth = 9,1.1203783640174794,1.1210366187571443,1.1210401661593787,1.1232516207070005,1.1355970854058741,1.140158860524375,1.1526413177840236
max_depth = 10,1.1187916122273336,1.117583805638612,1.1182911282752774,1.118454444734517,1.1310842150330263,1.1356505941970025,1.1486854278674852
max_depth = 11,1.1147359877578629,1.1168528322098283,1.1155773728364433,1.1149942159367652,1.1293566140983402,1.1313017062764343,1.146422579182345
max_depth = 12,1.1150132365968648,1.1115740026176602,1.1107747284427325,1.1158152710296265,1.1272234868231112,1.1311406920864269,1.1422392334013318
max_depth = 13,1.1132996078105548,1.1113455783460706,1.1078537590337463,1.1129283422800484,1.1253857291394282,1.1278980253795665,1.1419293031914644
max_depth = 14,1.109834791711494,1.1094425658104317,1.1103197638700204,1.1095252694050466,1.1220373883716508,1.1280624637382126,1.1399878031237616
max_depth = 15,1.1081754938542168,1.1101459367075386,1.1088851525576409,1.1121068201190165,1.1250939641215636,1.1276198886956723,1.1389751852147663
max_depth = 16,1.110903951493767,1.109960415829848,1.109754198156069,1.1102622378358682,1.1220678536309014,1.1250423785177235,1.137182419987678
max_depth = 17,1.1041754676675748,1.1062239836795797,1.1090168717484428,1.1103926589467987,1.120709884622949,1.1240684844299713,1.1377574443048701
max_depth = 18,1.1065351482945327,1.1074766821258608,1.1067267846761386,1.108444546326071,1.1210023228054191,1.1249922956774576,1.13397156422606
