,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.1194897889084512,1.1184687703499954,1.1183304178454079,1.1183253040987486,1.126356494825115,1.1292109163088349,1.139141870347401
max_depth = 6,1.1131330969157212,1.1107823968363153,1.112008021849243,1.1136169444934385,1.1211744708286941,1.1244695418493562,1.1353548035525214
max_depth = 7,1.1067233954560802,1.1056165098447008,1.1062650341787812,1.1078292482221472,1.1168007838420455,1.1190914423490366,1.1307194431327896
max_depth = 8,1.1025887873212032,1.1004875929427,1.1011226001678078,1.103699966959854,1.1136282064529874,1.115149271151248,1.1264256760717926
max_depth = 9,1.097725584630853,1.0971754091753265,1.0985098205108255,1.097661971360616,1.1083956099222758,1.1117017707370858,1.1248640796899527
max_depth = 10,1.0964068483365819,1.0961146704599902,1.0961337784941356,1.0970492813566644,1.1050354746487194,1.1094086206673262,1.1188930722741661
max_depth = 11,1.0919706778238796,1.093728219053197,1.092583077219033,1.0940794601057424,1.1022963403210586,1.1061710326782,1.118725487091814
max_depth = 12,1.0908361130635893,1.0900903359204643,1.0896494904979104,1.093373827207649,1.0994444099955503,1.1042885437672698,1.1175694814595487
max_depth = 13,1.091326028736387,1.0902653123167665,1.0874517959316077,1.0903814817225894,1.0993459511399546,1.1039557767507178,1.113005682362723
max_depth = 14,1.08746549880978,1.090101831681804,1.0880786246161578,1.0874528876533334,1.0992606115204466,1.1013613330596836,1.112366883104188
max_depth = 15,1.0878303556204736,1.0869780061029697,1.088899799648008,1.0878744113704537,1.098326138417106,1.1038798540905328,1.1120110764295594
max_depth = 16,1.0881348163464117,1.086251974244616,1.087703274107762,1.0874031634879129,1.0979779527570708,1.0997342082068355,1.110153412615813
max_depth = 17,1.0853589055626003,1.0832333070760565,1.088852609645864,1.0865297818361805,1.0949021883702679,1.0986409704940856,1.1127314444866543
max_depth = 18,1.0868272907096284,1.0841386121115002,1.085042117121101,1.087229869022124,1.0960078741889197,1.0986609810596621,1.1071841049657836
