,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,2.7893127623083807,2.7866098458687367,2.788009525750571,2.787397126102144,2.8037572839344076,2.8092907333610126,2.8286769146939847
max_depth = 6,2.775532229362262,2.773883568761309,2.775323830286539,2.7762264503817415,2.792163740260688,2.79607666980376,2.8191176866184686
max_depth = 7,2.763127448372636,2.763912524289401,2.763387790338765,2.7657748885837097,2.782500838086165,2.786310441654262,2.809411462753227
max_depth = 8,2.752049954445095,2.752693442966832,2.755656174945355,2.7596941892279605,2.772763472854322,2.7775601784419646,2.8013644658109977
max_depth = 9,2.7459830556493134,2.7440667151376794,2.749190057498752,2.747416221568799,2.7627204164489596,2.7708249989151663,2.7930894961832093
max_depth = 10,2.7409411457223127,2.739439912932005,2.742720208299718,2.7382510611466744,2.758367355343673,2.761959878605009,2.7828569678522426
max_depth = 11,2.7343280227377136,2.7331140255206403,2.736850009488907,2.738372511789346,2.7524506601600165,2.7570178460005073,2.7812750304657636
max_depth = 12,2.734014380335889,2.731384224210171,2.7253578863881076,2.737549257392933,2.748523487567846,2.7581890253325865,2.7751157858106352
max_depth = 13,2.7330913955075165,2.73006206124086,2.7262991325350803,2.731817068703759,2.7502693914110443,2.7506945960899976,2.77682941346593
max_depth = 14,2.728775546301063,2.726424888226678,2.7301981959585864,2.734763979604621,2.744652655643376,2.7560099782477225,2.7720457459444137
max_depth = 15,2.722390362240623,2.727835656968973,2.728872401451435,2.7316666107321637,2.7477082995050215,2.7512300017975586,2.7697154759545555
max_depth = 16,2.7231469384617912,2.7231224965735565,2.732687525174578,2.7281393811024888,2.7455603344892956,2.7542842006468637,2.7727870811792568
max_depth = 17,2.7218625669751813,2.7258278000669844,2.72672432799699,2.7197324306112987,2.7525895316284443,2.752203382936834,2.773130978085662
max_depth = 18,2.7274581524347012,2.7223409481356304,2.7220715180984176,2.7230430870623623,2.7503976714632543,2.7513405578919254,2.768599952486201
