,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.458464550978272,1.4565806005217163,1.4562526615142883,1.4565383856005925,1.4680032330249289,1.4717561792276819,1.4847083322941548
max_depth = 6,1.4492745483152751,1.4470866233432802,1.4466522659867267,1.4485821481913643,1.460594256543784,1.4631693115323965,1.4782504337181268
max_depth = 7,1.438936336950779,1.4376908158548836,1.4385288124095688,1.4402925195816156,1.4533927871998766,1.4571021689779646,1.4731287231513202
max_depth = 8,1.4318572002777834,1.4304411810527886,1.431685353420601,1.434228315859121,1.448548687701576,1.4498497776601422,1.468181294043789
max_depth = 9,1.423378625974437,1.4238419437939347,1.4263491539203585,1.4242765418843017,1.4413348663984362,1.4457262775041129,1.4614740358813347
max_depth = 10,1.421077388779846,1.419635024338421,1.4193733416508711,1.421428867560009,1.4363114117752567,1.4404162190339407,1.4558310321592016
max_depth = 11,1.416704413578107,1.4154614317253444,1.4173586295714327,1.4174520184160015,1.4329519355702527,1.4353424093590759,1.4564825676904911
max_depth = 12,1.4147535849056858,1.4129052159857978,1.4114150041745588,1.4176573891442716,1.4292680120944783,1.4358792279070598,1.4490561538872684
max_depth = 13,1.4126062557204404,1.4098090477900314,1.4098873620047752,1.4152808456587669,1.4278393249545265,1.4318511792921995,1.4485965481862928
max_depth = 14,1.4112621581464964,1.410289110308737,1.4159684614002737,1.4159786089510427,1.428133972304116,1.4339670880266677,1.4491189975677385
max_depth = 15,1.41110189291352,1.4094064870064835,1.4137550560426864,1.4131574225372863,1.4311480601920006,1.4319231316619685,1.445195634285327
max_depth = 16,1.4094167120132033,1.4097032354165537,1.4133502655064782,1.4131693874469904,1.4272708611216756,1.4295956056889987,1.4475528066507843
max_depth = 17,1.410786603447767,1.4099384165887818,1.4130230936105481,1.41113811062497,1.4293685601642827,1.434680372591862,1.4502137935794812
max_depth = 18,1.4108727271298185,1.409271296519355,1.4082697631594654,1.4103292409074226,1.4285863135138892,1.4277645005009012,1.444743283397324
