,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.3485330644695473,0.36467378649388393,0.37469841112242463,0.386108876254197,0.3891250280318175,0.3869981667660969,0.3877850454731076
max_depth = 6,0.3651290308168582,0.37763620738703746,0.3825985968602983,0.3868061513193255,0.39531544043066363,0.3959463751171429,0.3919673480092706
max_depth = 7,0.3763193103201252,0.385174875566931,0.39306274285773085,0.3985348642467728,0.3919243296466759,0.3968149903864004,0.3871815421154719
max_depth = 8,0.3811401626431255,0.3940562203502122,0.39893401357728325,0.40293998039204165,0.39391321405960505,0.40112807438514353,0.39491709527239915
max_depth = 9,0.39506218719481506,0.4017095352847643,0.4003623852501535,0.40886465256975074,0.4027608725108789,0.39904817768564393,0.3969443573148517
max_depth = 10,0.3969324179306599,0.4071987863352058,0.40568500491811305,0.41370447515649733,0.4004156512379892,0.40643870148907224,0.39539798090855693
max_depth = 11,0.40380769595915833,0.4057532683961216,0.4106830876525522,0.4184645843181682,0.40857323799276324,0.41156707418110094,0.39598213045453723
max_depth = 12,0.4066278679513982,0.4156569334058138,0.41528426217321607,0.41368192108318225,0.4097342457142493,0.40561755200198196,0.4075651620431847
max_depth = 13,0.40704246142165423,0.4157866390420342,0.42181199022046434,0.4175960670309764,0.4031770289346301,0.40737300852111197,0.40037588724234585
max_depth = 14,0.41375615184958336,0.41285688857159175,0.4169638781080558,0.42395540263138987,0.4187656062591322,0.4062766231728645,0.40243610117410955
max_depth = 15,0.4167757994365445,0.41693774903434877,0.4140554243487333,0.42029294264136063,0.4059763384551479,0.4080887743329838,0.40494181231519166
max_depth = 16,0.410449250058567,0.41644090043827686,0.41634421106312636,0.4226227530026478,0.4128295463685205,0.4158401536975567,0.40861155325057197
max_depth = 17,0.4267555022383071,0.4232314893635495,0.4181873038092767,0.4274841074399722,0.4106704604523018,0.40945885002798765,0.4012732159686081
max_depth = 18,0.4216412160310077,0.42178945290117636,0.4230245940591465,0.42285658766003237,0.41297339449771936,0.4122557559554091,0.4135876303090659
