,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.314255569547094,0.32826935771598925,0.3359972005392194,0.34941276096820884,0.3551119368847064,0.353853112166259,0.3498710402733274
max_depth = 6,0.32699329968086155,0.3401876720338516,0.3435929910143023,0.35130479099369966,0.35914980898876275,0.35719541823208834,0.3499771395998073
max_depth = 7,0.33874623854040836,0.345359175586642,0.3520535878686365,0.3586893294836556,0.35466380903944983,0.36267383567359734,0.35158727795660555
max_depth = 8,0.3425904544940799,0.3562615793776315,0.3572273934413908,0.3622431708293266,0.3562030894304285,0.3615943603914093,0.3588605133968024
max_depth = 9,0.35091769784118787,0.36135667324741966,0.35945928878521405,0.3691713860815743,0.3653816432572602,0.36324939232789843,0.3528578802681101
max_depth = 10,0.3534634161608046,0.36130212489536384,0.3616195722301972,0.36936664808185854,0.3641606386789071,0.3657611560027612,0.36304220684904137
max_depth = 11,0.36002768651505906,0.36167438235211674,0.3659255164498093,0.37149590413920774,0.3689193868410688,0.3709171160645836,0.3576908850364548
max_depth = 12,0.3653255643418779,0.37072889895159383,0.36870072992218017,0.3704781534518326,0.37166330778069423,0.36969439224665757,0.35795090068140206
max_depth = 13,0.3640709289799013,0.3690001322627982,0.3747401413282322,0.3725609459785021,0.36845931720944847,0.36607731535582505,0.36995406914817636
max_depth = 14,0.37163743998998505,0.3667168787821594,0.37073715965788145,0.37883485341728895,0.37439364080542925,0.36909601873912645,0.3598806735802557
max_depth = 15,0.36991184970496166,0.3724502963831764,0.36992117572867256,0.3780917355844441,0.3752574209739377,0.36254277070430757,0.3602856929726813
max_depth = 16,0.3673582037029551,0.371604233997281,0.36808762073548207,0.37555941609902044,0.36974915760272314,0.3726106691835996,0.3655636129319023
max_depth = 17,0.3757329198890174,0.37951767870117564,0.3693092389732563,0.38079921742859235,0.375909288729901,0.36941731562313723,0.3591543324669355
max_depth = 18,0.37022232266188276,0.3784750781084508,0.3779374891661283,0.37691025053210603,0.37317253043921794,0.37746840813120697,0.37623315590786527
