,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.313965529269705,0.3252186064796505,0.32793577177830546,0.3391333083673813,0.3432418931311987,0.34252250387172206,0.3444074686946572
max_depth = 6,0.3270481361301261,0.33201931440302557,0.3356757262027306,0.34373110142268987,0.3480983623399097,0.348531933844596,0.34586031090335984
max_depth = 7,0.335854111405189,0.33932880237944807,0.34263123333086,0.348213953967354,0.345635066331419,0.3486070612321282,0.3501084017206771
max_depth = 8,0.3446228579253725,0.34981819972537914,0.34699086265964,0.34834055614477455,0.3499685997704092,0.35274595779596546,0.348776503388945
max_depth = 9,0.3455748554751302,0.3532735267470392,0.35013290999389773,0.35946155982286476,0.36045126490619045,0.3547108964945067,0.3514837034314322
max_depth = 10,0.35295205828720505,0.3539540706720597,0.3548962629156457,0.3659392494531017,0.3555088240665826,0.360847519867251,0.35550399705717806
max_depth = 11,0.3568798248438357,0.3623121768981397,0.35785648584130214,0.3647675812021319,0.36356967459458917,0.36434915980329463,0.35078345586467935
max_depth = 12,0.3628271685515533,0.3664941190015655,0.36706765501088456,0.3651367119633085,0.35876973983391086,0.36110043148493126,0.3572510437385045
max_depth = 13,0.361474621119346,0.3675214062959376,0.37230105575485584,0.36684655636584784,0.3633144630790815,0.36865832724065345,0.3545150689146852
max_depth = 14,0.3650679768967814,0.3667458253958473,0.36311113117159033,0.3667594738643141,0.364070355729322,0.3622380753439497,0.35258255154716467
max_depth = 15,0.37352778100233686,0.3718199171112482,0.3656442381201589,0.36806305838002273,0.3633009746604456,0.3614309420278797,0.36383279656315726
max_depth = 16,0.36788842699464036,0.37755845409472283,0.3658083015278313,0.37393893577091647,0.3676894230189798,0.3577847876857369,0.34877391233890126
max_depth = 17,0.3746036194896199,0.3744920929704948,0.37064214022300057,0.3807955650613658,0.3626632243550889,0.3580243785944228,0.3466453061298234
max_depth = 18,0.36930975463969706,0.3769255010665594,0.38053085208138093,0.3691664083112102,0.35705733136854884,0.36580263202637825,0.35485132185257734
