,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.3430461483018416,0.35731918975145505,0.3637453683177763,0.375375368635016,0.37862905419077686,0.3766484409766059,0.3781508583655476
max_depth = 6,0.3558703558642095,0.3672689576820095,0.37239924080432923,0.3791110454025625,0.38151299619159007,0.3853798231069952,0.38201912260583554
max_depth = 7,0.36794104178254156,0.374729680985162,0.3789887353697573,0.385897642007526,0.38289088854466197,0.38552663804051873,0.38094612403888184
max_depth = 8,0.37478657496291223,0.382123725722146,0.3827474766949726,0.38700755990910773,0.38267344828543604,0.3894315107240586,0.3783545889343226
max_depth = 9,0.38450060970274946,0.3885304913593506,0.3841738957795678,0.39796300163986925,0.39317552250019844,0.39069803480799153,0.38914612608281735
max_depth = 10,0.38415913564271503,0.39044307265516803,0.38875688569479266,0.4019187871134712,0.3923640377470646,0.39469069071590585,0.39096871738825517
max_depth = 11,0.38978940125414413,0.3958430679282698,0.3931708235298271,0.4034758917255886,0.39486334134381584,0.4021393548888528,0.38392900495133514
max_depth = 12,0.3958977868828765,0.4004718496091592,0.4000417707678614,0.4029210491648403,0.399839744937701,0.39403574524806306,0.3958651387127882
max_depth = 13,0.3925422016257686,0.40479809691469226,0.4046839229728386,0.405117694741269,0.39816699031405506,0.4007633889961348,0.3875078333411079
max_depth = 14,0.3993207729363628,0.39848332903968786,0.3934992581807713,0.4027017562010062,0.3993943333939165,0.3955941647057788,0.38740164064039123
max_depth = 15,0.40212350619564313,0.4023684665314187,0.3927730257224758,0.40616985911671905,0.3952416789876859,0.39816488295855124,0.39639050103149637
max_depth = 16,0.4011292616629917,0.40487295414678776,0.393613899881095,0.4070107712585618,0.40224911171661026,0.4008804634142702,0.39414081824203073
max_depth = 17,0.4047941866833632,0.4009995978860646,0.39583682018911054,0.4080881699690481,0.3967011362306428,0.3906642215518844,0.3813077974045433
max_depth = 18,0.4023657724085555,0.4046385441350465,0.40857388002858386,0.4128565955624089,0.39635633572325185,0.4045575954976929,0.3961215865853032
