,min_sample_split = 2,min_sample_split = 4,min_sample_split = 6,min_sample_split = 8,min_sample_split = 10,min_sample_split = 12,min_sample_split = 14,min_sample_split = 16,min_sample_split = 18,min_sample_split = 20
max_depth = 15,0.3028678508763287,0.31102131940953426,0.296990312909932,0.29030840547109,0.2971493284378448,0.29999991608822946,0.30020455468974394,0.29615404215756813,0.29513102950876213,0.2954542131926592
max_depth = 17,0.313780707971441,0.311472528780897,0.3063054558252485,0.3095232758939444,0.3081727785091243,0.30248388879368165,0.3011392600834912,0.29947433722216316,0.30085509770852414,0.3009871951128401
max_depth = 19,0.28798606046138214,0.3076638777582872,0.300532068274189,0.3064866679078248,0.3033855226614082,0.3046791706999217,0.30582010808878257,0.3006212803531116,0.3010304691402364,0.2978970970629018
max_depth = 21,0.3049837254013196,0.2938376610214545,0.3025641103098837,0.30424374001490045,0.308719282694179,0.3004952001061737,0.2988354414622334,0.30459479777737386,0.3016349593731686,0.29894532804634355
max_depth = 23,0.29849342360144265,0.30197178703456495,0.30909262710476504,0.3036545301405534,0.30021744729861016,0.30849179708060787,0.2971694969290899,0.3015269520652997,0.3010656561773847,0.29494983422927157
max_depth = 25,0.3003944411505556,0.30358694752315996,0.2982318900861199,0.29914931428064306,0.3053432403853632,0.3126073773342497,0.29709421290773264,0.3027112376243572,0.30190322352161875,0.29666955872690165
max_depth = 27,0.3019600378622433,0.2992434380879191,0.30521371976366635,0.3122601228211928,0.30420417150043644,0.3104568149081759,0.3002917796179459,0.30183884362019325,0.303171203237242,0.29722815394818797
max_depth = 29,0.3016874742217542,0.28784337580171987,0.29965658858359,0.306178716849492,0.3064352915168354,0.3098943072061337,0.29984274421367474,0.3013928836972414,0.3023966861221991,0.29724910476999944
max_depth = 31,0.30943336714182085,0.29328236783907097,0.3056846555466053,0.3080010338382335,0.3045687973018882,0.31001482288263343,0.2994750349470999,0.3009613104151967,0.3023018513401205,0.29716617893633024
max_depth = 33,0.30145501467361074,0.2909821970914112,0.3055467468010187,0.3071208457225348,0.3042415691195315,0.3096932334212553,0.3000866242088361,0.30124539636298536,0.3022558255424281,0.29708227414966465
max_depth = 35,0.30560911093391513,0.2900283013849438,0.3056797051156519,0.30702499099685215,0.30430328864742295,0.30990732482879346,0.3000559880022974,0.30124539636298536,0.3022558255424281,0.2970822741496647
