,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.1474420581633982,1.1468874262077398,1.1474669518328469,1.1455628443845045,1.1546488685598453,1.1591641270552633,1.1711008040166577
max_depth = 6,1.1383518910183272,1.1393280272922501,1.1390324585535014,1.1386761592722154,1.148704731745799,1.1524931798574944,1.1648401417302847
max_depth = 7,1.1307129982165012,1.1316305190693037,1.1314978317204432,1.1309039250561383,1.1414120272458619,1.145895820004381,1.1590055289573533
max_depth = 8,1.122896565693591,1.1243228590572845,1.125950013534578,1.1234411001247147,1.1371918156506549,1.1426982245610553,1.154792970105049
max_depth = 9,1.1202384030398653,1.1196694353845247,1.1205789778894168,1.1206499372333028,1.1321568519214362,1.1367995626859033,1.1516991744487313
max_depth = 10,1.1154450617834453,1.115934736195385,1.117735618465427,1.1171193926196872,1.1282299882557432,1.1313606614390324,1.1475473926606454
max_depth = 11,1.1123002153661672,1.1123667431583513,1.1100709620533935,1.1156734950404097,1.1251497923164384,1.1297271701364306,1.1442557087626766
max_depth = 12,1.1082175281175983,1.1089104232335114,1.1100648365422312,1.1090205584235633,1.120711468973213,1.126335386302294,1.1422899248259732
max_depth = 13,1.105521161623234,1.1086313933069822,1.10526488500603,1.107660960879815,1.1237659200732433,1.1233663335825979,1.1391497804619857
max_depth = 14,1.1080208276486265,1.1080807001938804,1.1060764517583892,1.1086927247913505,1.1191013885281864,1.1217203938420102,1.1384405677456084
max_depth = 15,1.104520792129732,1.1046979726108321,1.1055937104109146,1.109535010872207,1.118446935785828,1.1206250824543316,1.136041914919417
max_depth = 16,1.1041279927368892,1.1029089775821337,1.1038421847293312,1.1063196920011644,1.1182397181681976,1.1213690734872752,1.1335300422121686
max_depth = 17,1.1036319770381318,1.103291819923496,1.1030854358812126,1.1064323568007421,1.1190474193249542,1.1208894611590257,1.1361160840136721
max_depth = 18,1.1055029648799255,1.1029333360434352,1.100298487321168,1.1056976287748828,1.1163902429312547,1.1203443584487796,1.134186812051653
