,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.1117689371797765,1.1141920909115106,1.113757850246079,1.1154003750969463,1.124228331810704,1.127639556547696,1.1381211902548751
max_depth = 6,1.106022213397832,1.1067143346879371,1.108023565129225,1.1087967116211495,1.1177235502003002,1.12254974217863,1.132703287304796
max_depth = 7,1.0997478766145201,1.100995195737981,1.1025187251920778,1.1036572935060913,1.1133241709072508,1.117934982244791,1.1286935411614831
max_depth = 8,1.0953128488507236,1.096488512843926,1.0977485678108114,1.0992599548065554,1.1084977298398353,1.113839814297252,1.1257531730578543
max_depth = 9,1.0908688276659841,1.0930420413203887,1.0933028990802514,1.0936760642979462,1.1057785359195753,1.1082784500507654,1.1206431853608174
max_depth = 10,1.0883990859534056,1.0890240289535087,1.0875077809687017,1.093551897860885,1.1014450658282384,1.105610574360853,1.1181604930919835
max_depth = 11,1.085598045289447,1.0884295540207753,1.088119583714789,1.0888663063290756,1.0978502699326769,1.1018655104348385,1.114221323827869
max_depth = 12,1.081934372950855,1.0840304492879997,1.0866762777184193,1.088589578452564,1.0962330555777535,1.0994977391628995,1.1138602063654275
max_depth = 13,1.083739470931243,1.0828703242639592,1.0838168391956229,1.0857648130294528,1.092707261057784,1.0990992531607762,1.1107465639368115
max_depth = 14,1.078710979520248,1.0820391290039242,1.0838332335228684,1.0866964895011917,1.096213934632368,1.101093254441805,1.1071411532345978
max_depth = 15,1.0809114437270424,1.0776600225848014,1.0826050665711542,1.0853673610698094,1.0933780819576513,1.0981419127711713,1.1067472403157002
max_depth = 16,1.0806232557740127,1.0807072088241083,1.0814126245900757,1.087367749508547,1.0911730903196486,1.0981311973507426,1.1095708698207798
max_depth = 17,1.0785777019084626,1.0808363529900176,1.0797396064369404,1.0833592562361072,1.0946662117008328,1.0951533552750974,1.1083025214194568
max_depth = 18,1.0770473982247157,1.0796303715140316,1.0818849823478272,1.0817511690938695,1.093255836140846,1.0975710349868282,1.1060211479276354
