,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.2390416731429659,1.2392332601911662,1.2395091906979159,1.2399993123394129,1.249305117156976,1.252596439358128,1.2643466202745377
max_depth = 6,1.2309370221719351,1.231187623924475,1.2296411843665074,1.2315856572078414,1.2418050046547444,1.2453726245939578,1.258038600307083
max_depth = 7,1.2217300994600078,1.2229123788919756,1.223488965471429,1.2241465538377267,1.2347507411701013,1.239505507129686,1.2537193699675
max_depth = 8,1.2160377280019454,1.216394608019393,1.2173480372302203,1.2192983209041697,1.228390532940595,1.231339808829921,1.2473282070896832
max_depth = 9,1.2098709531279503,1.2111969716374416,1.2129551560738618,1.2134339669389218,1.2216370570331276,1.22741002394852,1.2430119033812894
max_depth = 10,1.204855819187393,1.2113337074044612,1.2083659007093934,1.2098734895717214,1.2184147784231758,1.22456723852271,1.2385366139709755
max_depth = 11,1.2039084750271305,1.2043511906697053,1.2058232508104152,1.206110582549279,1.2154968323275104,1.2203141896593188,1.233753738609691
max_depth = 12,1.1986028101325041,1.2026897272942054,1.2026553110913267,1.2035101823649696,1.2147426199459463,1.2179674612565392,1.2301192356503672
max_depth = 13,1.1979738105107627,1.1996491080651368,1.2031838372533603,1.200178788003589,1.2070425178510746,1.2183679574874111,1.2308941811419691
max_depth = 14,1.1964974596523423,1.2000688610081416,1.2007249639540836,1.2022396653040042,1.2101644735849209,1.2127604844968278,1.2286988986932401
max_depth = 15,1.1986734826143384,1.1972918636916399,1.2001539034233686,1.1994891843919453,1.208629029503523,1.2156793211030164,1.226644172949837
max_depth = 16,1.1964791953491598,1.198217791878575,1.1999934193567527,1.2001774405788672,1.210761027729134,1.2125845051526298,1.224323486665837
max_depth = 17,1.1951833830777205,1.2012661688680426,1.1987001270644801,1.202172804680586,1.2092764117899792,1.2127610896999128,1.2298008103418656
max_depth = 18,1.1981071416593012,1.199141689723218,1.2007893687674573,1.1975512224608944,1.2086513125087694,1.2102800795300446,1.2250941189889122
