,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,2.761555121977927,2.763933449081642,2.7650862682943345,2.773325619804918,2.796598032011109,2.8036739855627264,2.824506200401234
max_depth = 6,2.7509112741246664,2.754165269952964,2.7544648389284694,2.7604535643906467,2.7834137443926723,2.788969427688321,2.813316285515419
max_depth = 7,2.7361201685797454,2.73848923555263,2.743026111041353,2.751601091815933,2.7692574202141333,2.779621996454745,2.8055941701036122
max_depth = 8,2.7268287251753063,2.7331057792713396,2.7323868077274533,2.7409405990230487,2.758556602338823,2.77210838859075,2.7946576994180723
max_depth = 9,2.7218145616756844,2.7201903949909054,2.7240916556852484,2.7376015557185776,2.757630379048547,2.7628250572763013,2.7854145733790174
max_depth = 10,2.7109814003533277,2.718824424043748,2.719023302793253,2.7253649449182533,2.7456274467522537,2.7570323594607165,2.7788379553305593
max_depth = 11,2.7142073603730625,2.7167989899442064,2.712233195395463,2.723016586099639,2.744694850638407,2.751090452359392,2.772601621633067
max_depth = 12,2.7075206953220383,2.7128599418735866,2.7197335566220953,2.7253685430442314,2.7402730511056457,2.751178567485581,2.766948535217959
max_depth = 13,2.7041102989242316,2.7080663722672185,2.7147230187207425,2.726135603499139,2.742845841280578,2.745703254044482,2.767438520463149
max_depth = 14,2.7062091783934394,2.7106490649714674,2.7156876658817772,2.718762500691014,2.7372480840854223,2.7472956233991885,2.7616615500745567
max_depth = 15,2.704379236912643,2.7130472128521834,2.712495874324682,2.720912359249464,2.7308225552689946,2.738238646621634,2.757848892800126
max_depth = 16,2.6983476384595635,2.7151805506857585,2.710567877684823,2.7207276845909636,2.7301305031142293,2.7421767340244085,2.767871801610794
max_depth = 17,2.7047475288192233,2.71181707319823,2.711482211467519,2.7163357994986717,2.7357318701459374,2.74254971425275,2.7653718481179372
max_depth = 18,2.705045319726957,2.713429880801981,2.710673295410267,2.7166661117574376,2.7364852924582364,2.7426483510288153,2.757307009555428
