,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,1.4522291390815938,1.4528077778047195,1.453168498568828,1.453946917128903,1.4667564238246522,1.4712293047779754,1.484284980726302
max_depth = 6,1.442795650595984,1.443955409065833,1.4435805268360244,1.4449811424643768,1.4585825971480457,1.4632495272953616,1.476861122131085
max_depth = 7,1.4357868549933928,1.4348182244196348,1.433418214148026,1.4383641002502727,1.450389610151694,1.455267632650013,1.4728366300145377
max_depth = 8,1.4270927215612896,1.4285995689684463,1.4263896898465183,1.4304410265199488,1.4441204224917852,1.4483420008468797,1.4661347771025428
max_depth = 9,1.4199439287432278,1.4227945220131655,1.423770316895754,1.4267384356381871,1.4396600276081446,1.4429483666514316,1.4591513123620705
max_depth = 10,1.417276600761603,1.41664546161606,1.4149826104387118,1.4175879139338945,1.4357760999831999,1.4415721314783267,1.4567976280832124
max_depth = 11,1.4140121298026704,1.4127533323320016,1.4132576202323421,1.417525227224729,1.431187896712988,1.4382978033775728,1.4546326144595694
max_depth = 12,1.411120275255589,1.414577686360449,1.412275456682293,1.415085211097793,1.4318153277200891,1.43467077124763,1.4516725752495991
max_depth = 13,1.4075726218251894,1.4129589017604451,1.4121106071219915,1.4153044059483477,1.4295134634145912,1.435725782768599,1.4498791124949797
max_depth = 14,1.41191842593442,1.408707501636903,1.409542135585734,1.4118342056842035,1.4260866317391891,1.4305207804957685,1.4512338413607226
max_depth = 15,1.4093285517757792,1.4101187493952614,1.4081265890685934,1.4127647095117122,1.4240875498744838,1.4336547936845594,1.4508147881942604
max_depth = 16,1.405899420859496,1.4080633663293114,1.4113836945933766,1.4146760988372864,1.429441038785886,1.4298360799959022,1.4487777991679973
max_depth = 17,1.4081137923838116,1.4108539356848806,1.4076781926386348,1.4128350872747892,1.4276030903247605,1.4330994477376595,1.4486165321573576
max_depth = 18,1.4056224260822128,1.4123898627161362,1.4108276965059885,1.4129867607772653,1.4292634948810699,1.4321081114631256,1.4473705982970217
