,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,5.927307155920362,5.931055864941666,5.932948201263714,5.942676064319538,5.965531364372662,5.979109064881857,6.004980707439645
max_depth = 6,5.907978678317457,5.913674937695371,5.910384390597152,5.922139581374975,5.947869996159457,5.963771244664061,5.9887836299070445
max_depth = 7,5.892731366653088,5.895359254465327,5.900196511200465,5.913822852077295,5.9356910990411365,5.949049390167871,5.977475636196073
max_depth = 8,5.88080639759014,5.876123658545914,5.878161962848506,5.897386388518981,5.918139501963134,5.937913515520411,5.967151402993493
max_depth = 9,5.86634040142619,5.869327697541354,5.8726406092714365,5.876529464394476,5.907845838823756,5.924200110084537,5.956930593049769
max_depth = 10,5.855823214986972,5.840605769833863,5.863853519314468,5.8758758889914215,5.886158235987605,5.9170780723544985,5.942006623085328
max_depth = 11,5.841221885949406,5.846698734075747,5.861819350796277,5.863924642738129,5.892330422746391,5.904248603891294,5.940912276591535
max_depth = 12,5.849532977562919,5.842489630850423,5.8571081406140255,5.862792122759366,5.886145989491778,5.890702190120494,5.939404236526025
max_depth = 13,5.833313888842723,5.843638690142276,5.849331679669487,5.85787010785065,5.883928744161644,5.892509426995333,5.93088078014052
max_depth = 14,5.837397800701192,5.834400540859116,5.847143700274455,5.850063191374029,5.870544771076969,5.881056505020102,5.9230067956165255
max_depth = 15,5.830216354953706,5.853775712504064,5.828356329115715,5.851910172040063,5.87937678312069,5.877417747326006,5.916084911846189
max_depth = 16,5.834955070268868,5.825360515208166,5.835377340244144,5.85265268540147,5.876603446877745,5.887877527323841,5.910885974755977
max_depth = 17,5.820582217115655,5.840331286573802,5.834809756290504,5.8536345089996304,5.868746150404068,5.899746038127266,5.916541597531858
max_depth = 18,5.842863388403337,5.838532099221713,5.822210969297857,5.84295447967271,5.881635333656037,5.8900618793454775,5.912284909373718
