,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.34942820596450136,0.35962927724243504,0.3647114027421539,0.38441969705248263,0.398797666696711,0.40156185472637146,0.3968555803915796
max_depth = 6,0.36811800440614056,0.3707098841577813,0.38123658855102505,0.39058110066886603,0.4024665610052255,0.4020559650601036,0.4007984946712355
max_depth = 7,0.3819522872251761,0.3855543199875037,0.38756699577914955,0.4057238958250387,0.40584871214603246,0.4101397959299425,0.4017704075623567
max_depth = 8,0.39714150210545135,0.39518097651636763,0.39835324414137485,0.4147900415038589,0.41030178842618537,0.40470183492581896,0.4022722617885792
max_depth = 9,0.3978881173642074,0.39967119324536066,0.40538095861567364,0.4104862103937552,0.4121897806445428,0.408558496333198,0.4053970656919706
max_depth = 10,0.40514201573496716,0.4104616546652693,0.41185521273947157,0.4222894268697466,0.41404815368198494,0.4148008459646484,0.40195163138283313
max_depth = 11,0.4089342618037337,0.4176230781434426,0.4211650550494072,0.41340573257183555,0.4144566237794584,0.41685305644027165,0.40790268926569795
max_depth = 12,0.4156142608504888,0.4160433323668655,0.4208087744960986,0.430010867819283,0.4247418132331906,0.42191994086442675,0.4004893976059854
max_depth = 13,0.4198191033357143,0.4153654934967789,0.4255402319304728,0.4262706709854223,0.415982039210889,0.42200481009965074,0.40721933593910703
max_depth = 14,0.4132174018852061,0.4161100359845109,0.427144850155752,0.42500543050270356,0.4174942509321283,0.42676891487743696,0.4106799828033659
max_depth = 15,0.4187848037194583,0.4259699992194884,0.4260210036432453,0.421439750981665,0.4210596226438648,0.42123982620412076,0.41326637220399076
max_depth = 16,0.42048593498873926,0.42295485760786233,0.42680334498799327,0.42965539721502527,0.41914662208370457,0.4217479328498939,0.4196576338523946
max_depth = 17,0.4204000447496289,0.4277393023628392,0.4284233561088103,0.42633641588339083,0.4220751155249902,0.4199286274076354,0.40772237486281426
max_depth = 18,0.4167331217650947,0.4240922345346412,0.43760636469316827,0.4248577664670948,0.428516416615748,0.4228744307381697,0.40478958758021927
