,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.312717306328431,0.3171958127228849,0.32348588125094196,0.34509048329656844,0.3614875216810412,0.3588821084480646,0.3512635343793318
max_depth = 6,0.32408019722165504,0.33168046726536515,0.33112375811680084,0.3497916487440711,0.3636041420011609,0.3594829022136568,0.35995823570200913
max_depth = 7,0.33727702688335826,0.34159323107457873,0.34584796907218424,0.3529236557853512,0.36367078902184585,0.357266235475906,0.3550501283533902
max_depth = 8,0.34246467345334136,0.34477261915576113,0.34701997823505454,0.3600413914460926,0.36645926202782747,0.3569570616410306,0.3555113524194066
max_depth = 9,0.34932493465161746,0.35158712167776895,0.35522626080265945,0.36310706960246875,0.36800936919013627,0.3651700050529799,0.3614925715485901
max_depth = 10,0.35274917875622913,0.3575851248393501,0.36247323086886724,0.36172968225011437,0.36862710659991726,0.3568829095418835,0.359631179802645
max_depth = 11,0.357092557140359,0.354893857827124,0.36266598135760886,0.36980966317497344,0.3764134800727502,0.3674691704966134,0.35989752978120754
max_depth = 12,0.36443067974521887,0.3592210088558157,0.3612680796208721,0.3696935942975829,0.3735374394031368,0.3684821559355111,0.363031589176747
max_depth = 13,0.3602529818832062,0.3604412507434846,0.36346075721057497,0.37575233656253626,0.3844233669401433,0.36928385075985304,0.3622073553626795
max_depth = 14,0.3675399586041465,0.3686482761384075,0.3620006152671495,0.37227649942160046,0.37409593317283896,0.36491906771612465,0.3721803429563036
max_depth = 15,0.3609569813624757,0.374295073213835,0.3666440053575821,0.37552181291832903,0.3717507824092997,0.37069953990342436,0.3654286133847248
max_depth = 16,0.35750275975105233,0.3660773970251848,0.3686200502180935,0.365185489899336,0.3807373539699933,0.3745331564273172,0.3625354780231337
max_depth = 17,0.37173779707098187,0.36606247691150395,0.37645046135059146,0.37401649405472176,0.3697464012842419,0.38137708283756094,0.3666591835346162
max_depth = 18,0.3711417443748592,0.3712822352123024,0.36987576214625273,0.38001948402336083,0.381735380654293,0.3711209813528285,0.3679034849828489
