,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.3664795668569245,0.37174215305021757,0.3763495761410152,0.3860601295929112,0.3955423924367431,0.40175279726382135,0.4062627775368658
max_depth = 6,0.3819375867191997,0.3844364685926578,0.39268847647929106,0.3998238650842486,0.403226091764985,0.40780902934546404,0.40614252616790925
max_depth = 7,0.39300869873549193,0.39663684428841395,0.3975430002466386,0.4063305074854856,0.4076457692850195,0.4080800179612395,0.3998010158739879
max_depth = 8,0.39971824204910716,0.4052133036974604,0.4062829759108001,0.40876751960274454,0.41000823108434314,0.41320272580353695,0.4065504295027953
max_depth = 9,0.40947992939757605,0.4106511517365787,0.4118470872948752,0.4151483789370109,0.4222368002300475,0.41686547671875934,0.40611342934840766
max_depth = 10,0.41319897886856977,0.40730977747297076,0.4188873215787865,0.4195885548085915,0.4191661359441403,0.41095454649613344,0.41298333776084034
max_depth = 11,0.41730682821813636,0.41988169178741136,0.41898236867264554,0.4265009742794595,0.4222633395115368,0.41623229747228585,0.41881954894383383
max_depth = 12,0.4263092887703312,0.4233620518667415,0.42195447326539964,0.43048329597146817,0.4197665072356121,0.4194158490278845,0.4224166943327853
max_depth = 13,0.4256845399149366,0.4248717547978151,0.42506004235772077,0.42996917812405316,0.4276289244909963,0.41579522817171266,0.41303600520370504
max_depth = 14,0.4290536131253516,0.42351198255257777,0.42550951831327277,0.42629365904490674,0.4217676208388062,0.42681715703107653,0.40951358477573285
max_depth = 15,0.4230762483290494,0.42789264136327426,0.4259934336102429,0.43496990588919704,0.42593341857744427,0.42360158058905706,0.409248366537226
max_depth = 16,0.4265443393073362,0.4260997567950188,0.4261525494235603,0.42890243462319755,0.4227116092538793,0.4238939003843851,0.41856315696034085
max_depth = 17,0.42833755327872375,0.42473857925521447,0.4240692628156064,0.4262024200130533,0.4210779282301559,0.42619126414404285,0.41012871818827806
max_depth = 18,0.42399282915611175,0.42370726542453835,0.4256393030447183,0.4337530189968063,0.42189237414103126,0.42881088261882566,0.41622285515497853
