,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.38196933943852274,0.37818977434566103,0.3787860267357139,0.3721907964516303,0.36474084270950063,0.3652626275239935,0.3601797286641144
max_depth = 6,0.382082709042675,0.3810270067737186,0.38095275992956523,0.37666954371626366,0.3672824738445793,0.3699283690147922,0.362419152048986
max_depth = 7,0.389133792899668,0.38805845491350294,0.38483074816286306,0.37588858844339607,0.3770751621999528,0.36958999276737287,0.36198941414078617
max_depth = 8,0.3928575952651721,0.38777006458572766,0.39016103071762426,0.38304166310419635,0.3748013442256623,0.3689426256748393,0.3603737448760035
max_depth = 9,0.3958531107784479,0.3953563142266613,0.39313785975326787,0.37992687748424947,0.37517822040236465,0.3704547961041796,0.3592117077680742
max_depth = 10,0.40268922601967577,0.3891178255318443,0.39129077902896997,0.3898203021757504,0.3826333248487214,0.37606521593666514,0.36525344895756745
max_depth = 11,0.39133727658387235,0.3940369561090439,0.40203041463905514,0.39067577228226685,0.379654658792882,0.37376850450852583,0.3688410874118367
max_depth = 12,0.4014108324332638,0.3938203712987597,0.38707346428439293,0.3845029681028396,0.38321032596834,0.37279437465292037,0.3730662110077452
max_depth = 13,0.401483786521755,0.4008638964843474,0.3960569717558132,0.3831927760846133,0.378212185957245,0.3752973570575925,0.36366187200248773
max_depth = 14,0.3982154146858204,0.39117918118968237,0.3942741752674333,0.3894049774795359,0.38092818642465387,0.38028862081692766,0.37460525715629184
max_depth = 15,0.4012205823765157,0.3942750284934175,0.3985606443265501,0.38635841672790444,0.3892004216061163,0.3849161420229545,0.37994485345295187
max_depth = 16,0.4093159357107278,0.39190093381612673,0.39952116302542034,0.38371384399206787,0.386924962991757,0.379200050854057,0.36647562155863905
max_depth = 17,0.4053614837935594,0.40093603823236273,0.39876761310959274,0.39008597969641934,0.3803124876346394,0.37886123605678595,0.3601494286336958
max_depth = 18,0.39849975470628296,0.3915935898156296,0.3996702308599743,0.392301563063631,0.3796536542592476,0.37782563634702937,0.3765826109013033
