,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.35712553434417593,0.3655942389393131,0.3630256029755458,0.3821817584142232,0.38407815970683795,0.38561106453248056,0.3839876184171885
max_depth = 6,0.36728119256864755,0.37384611930254047,0.37483087930855796,0.3869408157910484,0.38769133068131817,0.3888356741235119,0.39049313327394386
max_depth = 7,0.3758952045156248,0.38078301457102226,0.38645916423036236,0.3869510036242517,0.3926101697479679,0.391617495113155,0.382432221918795
max_depth = 8,0.3854526108818559,0.3840117740827184,0.38930779775394353,0.39682170429860086,0.39404807954537824,0.3979112976234695,0.3861900372360892
max_depth = 9,0.39477793081813994,0.38985317331320324,0.3890622834826059,0.3930412610985747,0.3906683448629384,0.39958969403899797,0.38835602951170567
max_depth = 10,0.396682992332727,0.39892810312686466,0.4007503989882477,0.4064365298222865,0.39454613548766254,0.3894210758203172,0.39495176935888116
max_depth = 11,0.3956501713967916,0.40373167584909103,0.40266669667581484,0.40267054663871027,0.3952352898546526,0.3953076055999507,0.3846042363301014
max_depth = 12,0.3990774177091333,0.39608925844320364,0.40270683307236493,0.4023051712220777,0.39268935997114046,0.3970954444517641,0.39020551423958655
max_depth = 13,0.4090667046998739,0.3973245982362333,0.3975470250106442,0.40602694265922584,0.3972352364885294,0.39377550998744903,0.39288140836202706
max_depth = 14,0.39443857564696333,0.4065506310497024,0.40729876840884677,0.4109940202152376,0.4034789936091913,0.4039590408302653,0.385395829026754
max_depth = 15,0.4021771360138713,0.4062486065743998,0.40923357375794817,0.4062052861517532,0.41047003151012,0.3961961406897855,0.38513963426507897
max_depth = 16,0.4067619356797144,0.40732313395107805,0.40356808897968866,0.40310484416658665,0.39661762817199986,0.4067963997539087,0.39546961041335715
max_depth = 17,0.40582813753666014,0.4011504495061779,0.40795965457466743,0.4052512948340184,0.4048875642507286,0.4028953276774219,0.3911516475362295
max_depth = 18,0.4059081859161583,0.39801243248787255,0.4036721877155436,0.40288072341275133,0.40322596790959914,0.39822933738408384,0.3915990002351284
