,max_features = 0.5,max_features = 0.3333333333333333,max_features = 0.25,max_features = 0.1,max_features = 0.01,max_features = 190,max_features = 0.001
max_depth = 5,0.30366253752690037,0.3060507844623024,0.3061315648936455,0.31048599074754724,0.32336040248547204,0.31942873477260236,0.30670351685415914
max_depth = 6,0.3132762043283715,0.3140712836130071,0.3189701988459499,0.32557476433875715,0.32827998679426623,0.3182440006902575,0.3191810775991167
max_depth = 7,0.32252083265627246,0.32290399869791003,0.3243275025398449,0.3182013041991664,0.32528999737382525,0.3257318926064121,0.3259253128321622
max_depth = 8,0.32906721968435626,0.3319574120453184,0.33790024346971215,0.3299937113656399,0.3404170227381179,0.3214458720311033,0.33166373596761833
max_depth = 9,0.3396391458057446,0.33540776630415353,0.3359554633345859,0.341050968720655,0.3420358746523265,0.32371000427561386,0.31581802897093086
max_depth = 10,0.34422348507372186,0.35169209824134773,0.3353486628380177,0.33786581588912873,0.3517726482017556,0.3345839222305436,0.33076237580262186
max_depth = 11,0.3464928664873628,0.33829715542152755,0.3342299851045609,0.34569858661399194,0.3376359125815159,0.3440337032581054,0.3262720356662685
max_depth = 12,0.3403878184380632,0.3499114287696405,0.3361232404615727,0.34293657850936315,0.333871078922532,0.34307029291542235,0.31479357102722044
max_depth = 13,0.3448127993543936,0.33866994649290266,0.3320519944079327,0.3377799129050114,0.3388867570811894,0.3286472241498817,0.3207030846432338
max_depth = 14,0.3486184707179592,0.3505664189926179,0.3407822347543111,0.34941798040091093,0.34774447917137,0.3495529940624531,0.3250904788736115
max_depth = 15,0.3462198740496916,0.3359990888670122,0.3522546883639453,0.33884129679293484,0.3315120254334779,0.3490434591069418,0.32288161944448174
max_depth = 16,0.3382526369820888,0.3557075990626554,0.34653577301002303,0.3415719830473184,0.33757846455957535,0.32841829175711684,0.3279986629253493
max_depth = 17,0.3590581022609065,0.342396900612963,0.342581367021571,0.33924423477214394,0.34520924303221684,0.32532617068587044,0.3292735839149189
max_depth = 18,0.3399596883742293,0.3426089384171416,0.3548723801927373,0.3572813278597224,0.3326573402823622,0.3367324296363108,0.3180236392111896
